"","varVec.i.","diff.gbm.ex3","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex3","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6","mn"
"1","SO2",0.54874046996013,0.0459983290036978,0.667379602268774,0.2197452659774,0.61027094646418,-0.4013194791556,0.712239580871793,0.958897676281403,0.54874046996013
"2","CO",0.236712105979472,-0.327855678275928,0.312129438877705,-0.140267791965575,0.510467291173961,-0.526701344462675,0.593676652607312,0.797416381326459,0.236712105979472
"3","O3",0.164325342978185,-0.304720785948674,0.378814030847616,-0.137907849672003,0.412778775293022,-0.575270787509919,0.555816138401946,0.701086975311568,0.164325342978185
"4","NO2",0.591757100548738,-0.0838572853523579,0.495838418719225,0.225266832785755,0.611093778577663,-0.459625203935108,0.671499610884962,0.848776484363777,0.591757100548738
"5","MEAN_PRES",-2.78484785361768,-0.515749555898204,-1.43416359843262,-2.87283123390411,0.30012094987186,-0.634153164978006,0.422352361028737,0.658718156714224,-2.78484785361768
"6","MEAN_SEA_PRES",-0.342709422702982,-0.0571279766887502,-0.840215534465428,-2.51421027692616,-0.229398318312877,0.0574721660285474,0.612634011493973,0.341651037707978,-0.342709422702982
"7","MAX_SEA_PRES",-0.0259091573801356,1.53327072989707,2.2936624260462,0.147384442180277,0.177281853203278,-0.0332016893324648,1.54681990540241,0.60692494486253,-0.0259091573801356
"8","MIN_SEA_PRES",-2.4283877848674,-1.85816272990812,0.25113986652261,-0.591411825745144,-0.708645984121362,-1.11809909404363,0.849687726898939,0.685861593508501,-2.4283877848674
"9","MAX_WATER_PRES",0.0179397386432687,-0.429511145059925,0.290132422414809,-0.460778081750968,0.406462350435764,-0.640978525699366,0.557906648487098,0.643366718311193,0.0179397386432687
"10","SUM_PRECI",0.16833130855382,-0.332077238618713,0.209127075531787,-0.24022984260541,0.464040232389095,-0.554062255178082,0.574118957630326,0.74291102600997,0.16833130855382
"11","MEAN_WIND_SPED",0.105411520330581,-0.337332583222533,0.114187143534865,-0.312279944836808,0.442598821481432,-0.58549354649346,0.557339327710679,0.715814678438471,0.105411520330581
"12","SUM_SUN",0.37429831658243,0.327461644394872,0.389508901743291,0.224785290134579,0.625638774939603,-0.350733513619915,0.71424865355029,0.865616680859608,0.37429831658243
"13","BEIJING_PM2.5",0.204582547843693,-0.159019309015951,0.260970137252914,-0.332305201922482,0.339893471554992,-0.495600657637835,0.599395287053738,0.884133496605878,0.204582547843693
"14","BEIJIING_PM2.5_STD",0.332247186595151,-0.335195548831106,0.481997706862149,-0.115893613285308,0.700907245472674,-0.481794433897132,0.842505967715785,0.889737497217667,0.332247186595151
"15","POP_DEN",0.272575483030291,-0.252148932697657,0.15145358758078,-0.0949672404518424,0.503442556931335,-0.509346023699526,0.557209630331822,0.781504917608061,0.272575483030291
"16","YD_FREQ",0.209187904169147,-0.290865710462312,0.334043979407978,-0.164294003704829,0.495464616062964,-0.521911617674691,0.591596898629818,0.767611016744312,0.209187904169147
