"","varVec.i.","diff.gbm.ex3","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex3","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6","mn"
"1","SO2",-0.160275336947343,-0.653997569249865,0.0372231629113919,-0.565379087668296,0.367074975709508,-0.648420170554369,0.455956155832751,0.575890841664853,-0.160275336947343
"2","CO",0.14767072675001,-0.23960811615491,0.424002127868253,-0.183698641626207,0.477492490910773,-0.509279611834006,0.604074933702115,0.742895898855452,0.14767072675001
"3","O3",0.291258997094239,-0.236992978105792,0.336598019142342,-0.139006333883701,0.599207408009645,-0.457674203507593,0.689591694669634,0.855152188650623,0.291258997094239
"4","NO2",-0.210394389746278,-0.525114227098217,0.131039949272434,-0.570471928373711,0.352845524557003,-0.585513996978505,0.543632597255302,0.69260469329678,-0.210394389746278
"5","MEAN_PRES",0.591190684563797,-0.947823970574262,2.11378210964966,0.986176051362515,0.766511252996746,-0.159431579428531,0.511637205159103,1.09288638792638,0.591190684563797
"6","MEAN_SEA_PRES",1.65086854963629,1.88890121212201,1.08592923940088,5.56669083770908,1.29721018155968,0.10773800196103,1.15466736172911,2.48033800043721,1.65086854963629
"7","MAX_SEA_PRES",2.3153166819364,1.22338480387209,3.22642205584966,3.36904335058294,1.98921169636249,-0.0991446436782126,1.05335098587759,2.92723660578929,2.3153166819364
"8","MIN_SEA_PRES",2.28945397126347,-0.858256646069315,4.14883669455228,0.477307890098445,2.60655632893761,-0.247937476331221,0.792067139988594,1.35558833927019,2.28945397126347
"9","MAX_WATER_PRES",0.555029772262419,-0.170284026164549,0.394546051877316,0.230690676059932,0.680329122929169,-0.354210100259528,0.746533447858436,0.969799732278873,0.555029772262419
"10","SUM_PRECI",0.266477218406124,-0.26057853428375,0.473052969472951,-0.0792074326549325,0.544787414485256,-0.483688663184521,0.674233590560455,0.802134604786027,0.266477218406124
"11","MEAN_WIND_SPED",0.334176276055382,-0.237946463637678,0.584541704861348,0.0240063084979338,0.567611978527292,-0.421026117522867,0.660721468190703,0.884534379318418,0.334176276055382
"12","SUM_SUN",0.00907175598747718,-0.85095602136842,0.275823977825833,-0.548041333063312,0.371380369956356,-0.710307273045752,0.581679253345791,0.746528867810866,0.00907175598747718
"13","BEIJING_PM2.5",0.515087506054742,-0.326647141614942,0.431116169360338,-0.29872196232436,0.67815959600069,-0.556935239102398,0.714206030298342,1.03549380556993,0.515087506054742
"14","BEIJIING_PM2.5_STD",0.122022069933648,-0.269701830628103,0.174627442793816,-0.202368528278742,0.335042789579105,-0.560443598576994,0.546069321685166,0.69223610485014,0.122022069933648
"15","POP_DEN",0.187746816700795,-0.313013952134623,0.376286964999654,-0.186420507987472,0.489891798844607,-0.528389048886381,0.619182399727987,0.762060896578905,0.187746816700795
"16","YD_FREQ",0.212072802256611,-0.290865710462312,0.338426704238799,-0.171690241959689,0.490589403485393,-0.522065098891441,0.590202884594456,0.767579382308588,0.212072802256611
