NAME,AQI,YEAR,MONTH,DATE
Beijing,182,2014,7,18
Beijing,106,2014,7,19
Beijing,119,2014,7,20
Beijing,68,2014,7,21
Beijing,54,2014,7,22
Beijing,82,2014,7,23
Beijing,90,2014,7,24
Beijing,134,2014,7,25
Beijing,188,2014,7,26
Beijing,194,2014,7,27
Beijing,159,2014,7,28
Beijing,159,2014,7,29
Beijing,169,2014,7,30
Beijing,244,2014,7,31
Beijing,199,2014,8,1
Beijing,163,2014,8,2
Beijing,149,2014,8,3
Beijing,47,2014,8,4
Beijing,80,2014,8,5
Beijing,67,2014,8,6
Beijing,162,2014,8,7
Beijing,140,2014,8,8
Beijing,143,2014,8,9
Beijing,125,2014,8,10
Beijing,76,2014,8,11
Beijing,119,2014,8,12
Beijing,70,2014,8,13
Beijing,104,2014,8,14
Beijing,109,2014,8,15
Beijing,159,2014,8,16
Beijing,124,2014,8,17
Beijing,135,2014,8,18
Beijing,150,2014,8,19
Beijing,164,2014,8,20
Beijing,169,2014,8,21
Beijing,83,2014,8,22
Beijing,155,2014,8,23
Beijing,75,2014,8,24
Beijing,59,2014,8,25
Beijing,78,2014,8,26
Beijing,136,2014,8,27
Beijing,103,2014,8,28
Beijing,104,2014,8,29
Beijing,176,2014,8,30
Beijing,89,2014,8,31
Beijing,127,2014,9,1
Beijing,42,2014,9,2
Beijing,54,2014,9,3
Beijing,100,2014,9,4
Beijing,140,2014,9,5
Beijing,186,2014,9,6
Beijing,200,2014,9,7
Beijing,61,2014,9,8
Beijing,109,2014,9,9
Beijing,111,2014,9,10
Beijing,114,2014,9,11
Beijing,97,2014,9,12
Beijing,94,2014,9,13
Beijing,66,2014,9,14
Beijing,54,2014,9,15
Beijing,87,2014,9,16
Beijing,80,2014,9,17
Beijing,84,2014,9,18
Beijing,117,2014,9,19
Beijing,168,2014,9,20
Beijing,129,2014,9,21
Beijing,127,2014,9,22
Beijing,64,2014,9,23
Beijing,60,2014,9,24
Beijing,144,2014,9,25
Beijing,170,2014,9,26
Beijing,58,2014,9,27
Beijing,87,2014,9,28
Beijing,70,2014,9,29
Beijing,53,2014,9,30
Beijing,92,2014,10,1
Beijing,78,2014,10,2
Beijing,123,2014,10,3
Beijing,95,2014,10,4
Beijing,54,2014,10,5
Beijing,68,2014,10,6
Beijing,200,2014,10,7
Beijing,314,2014,10,8
Beijing,379,2014,10,9
Beijing,346,2014,10,10
Beijing,233,2014,10,11
Beijing,30,2014,10,12
Beijing,49,2014,10,13
Beijing,80,2014,10,14
Beijing,73,2014,10,15
Beijing,76,2014,10,16
Beijing,132,2014,10,17
Beijing,211,2014,10,18
Beijing,289,2014,10,19
Beijing,250,2014,10,20
Beijing,82,2014,10,21
Beijing,99,2014,10,22
Beijing,163,2014,10,23
Beijing,267,2014,10,24
Beijing,353,2014,10,25
Beijing,78,2014,10,26
Beijing,72,2014,10,27
Beijing,88,2014,10,28
Beijing,140,2014,10,29
Beijing,206,2014,10,30
Beijing,204,2014,10,31
Beijing,65,2014,11,1
Beijing,34,2014,11,2
Beijing,59,2014,11,3
Beijing,150,2014,11,4
Beijing,79,2014,11,5
Beijing,32,2014,11,6
Beijing,63,2014,11,7
Beijing,93,2014,11,8
Beijing,80,2014,11,9
Beijing,95,2014,11,10
Beijing,59,2014,11,11
Beijing,40,2014,11,12
Beijing,65,2014,11,13
Beijing,77,2014,11,14
Beijing,143,2014,11,15
Beijing,98,2014,11,16
Beijing,64,2014,11,17
Beijing,93,2014,11,18
Beijing,282,2014,11,19
Beijing,351,2014,11,20
Beijing,74,2014,11,22
Beijing,155,2014,11,23
Beijing,94,2014,11,24
Beijing,196,2014,11,25
Beijing,293,2014,11,26
Beijing,83,2014,11,27
Beijing,114,2014,11,28
Beijing,276,2014,11,29
Beijing,54,2014,12,1
Beijing,65,2014,12,2
Beijing,51,2014,12,3
Beijing,31,2014,12,4
Beijing,62,2014,12,5
Beijing,89,2014,12,6
Beijing,65,2014,12,7
Beijing,82,2014,12,8
Beijing,276,2014,12,9
Beijing,153,2014,12,10
Beijing,52,2014,12,11
Beijing,41,2014,12,12
Beijing,69,2014,12,13
Beijing,113,2014,12,14
Beijing,82,2014,12,15
Beijing,33,2014,12,16
Beijing,99,2014,12,17
Beijing,,2014,12,18
Beijing,53,2014,12,19
Beijing,32,2014,12,20
Beijing,44,2014,12,21
Beijing,103,2014,12,22
Beijing,100,2014,12,23
Beijing,44,2014,12,24
Beijing,73,2014,12,25
Beijing,155,2014,12,26
Beijing,243,2014,12,27
Beijing,155,2014,12,28
Beijing,125,2014,12,29
Beijing,65,2014,12,30
Beijing,43,2014,12,31
Beijing,65,2015,1,1
Beijing,79,2015,1,2
Beijing,200,2015,1,3
Beijing,226,2015,1,4
Beijing,122,2015,1,5
Beijing,60,2015,1,6
Beijing,85,2015,1,7
Beijing,190,2015,1,8
Beijing,105,2015,1,9
Beijing,208,2015,1,10
Beijing,59,2015,1,11
Beijing,160,2015,1,12
Beijing,211,2015,1,13
Beijing,265,2015,1,14
Beijing,386,2015,1,15
Beijing,118,2015,1,16
Beijing,89,2015,1,17
Beijing,94,2015,1,18
Beijing,77,2015,1,19
Beijing,113,2015,1,20
Beijing,48,2015,1,21
Beijing,143,2015,1,22
Beijing,257,2015,1,23
