CODE,START_DATE,END_DATE,NAME,MANAGEMENT,LAT,LNG,ADDRESS
243,1972.03.01,,부안,전주기상대(146),35.7295,126.7166,전라북도 부안군 행안면 역리
244,1970.06.02,,임실,전주기상대(146),35.6123,127.2856,전라북도 임실군 임실읍
245,2016.11.01,,정읍,전주기상대(146),35.5631,126.8392,전라북도 정읍시 상동
245,1970.01.05,2016.11.01,정읍,전주기상대(146),35.5632,126.8661,전라북도 정읍시 상동
247,2013.08.01,,남원,전주기상대(146),35.4023,127.3967,전라북도 남원시 도통동
247,1972.01.04,2013.08.01,남원,남원기상대(247),35.4054,127.333,전라북도 남원시 도통동
248,1988.01.01,,장수,전주기상대(146),35.657,127.5203,전라북도 장수군 장수읍 선창리
251,2010.12.01,,고창군,전주기상대(146),35.4266,126.697,전라북도 고창군 고창읍
251,2008.11.28,2010.11.30,고창,고창기상대(미사용 251),35.4266,126.697,전라북도 고창군 고창읍
251,2007.11.01,2008.11.28,고창,고창기상대(미사용 251),35.4251,126.699,전라북도 고창군 고창읍
252,2007.11.26,,영광군,광주지방기상청(156),35.2837,126.4778,전라남도 영광군 영광읍 만곡리
253,2008.02.13,,김해시,부산지방기상청(159),35.2267,128.893,경상남도 김해시 부원동
254,2008.07.16,,순창군,전주기상대(146),35.3714,127.1286,전라북도 순창군 순창읍
255,2010.07.22,,북창원,창원기상대(155),35.2264,128.6725,경상남도 창원시 성산구 내동
255,2008.12.26,2010.07.21,창원시,,35.2264,128.6725,경상남도 창원시 성산구 내동
256,2011.04.01,2012.07.02,주암,순천기상대(174),35.075,127.2391,전라남도 순천시 주암면 구산리
256,1972.01.21,2011.04.01,순천,순천기상대(미사용 256),35.075,127.2391,전라남도 순천시 주암면 구산리
257,2008.12.26,,양산시,울산기상대(152),35.3072,129.02,경상남도 양산시 동면 금산리
258,2010.03.11,,보성군,여수기상대(168),34.7633,127.2123,전라남도 보성군 득량면 예당리
258,2010.02.08,2010.03.10,보성군,여수기상대(168),34.7633,127.2123,전라남도 보성군 득량면 예당리
259,2009.11.10,,강진군,목포기상대(165),34.6261,126.7689,전라남도 강진군 강진읍 남포리
260,1972.01.21,,장흥,목포기상대(165),34.6888,126.9195,전라남도 장흥군 장흥읍
261,1971.02.03,,해남,목포기상대(165),34.5536,126.569,전라남도 해남군 해남읍
262,1972.01.22,,고흥,여수기상대(168),34.6182,127.2757,전라남도 고흥군 고흥읍 행정리
263,2010.06.21,,의령군,창원기상대(155),35.3226,128.2881,경상남도 의령군 의령읍 무전리
264,2010.06.21,,함양군,창원기상대(155),35.5114,127.7454,경상남도 함양군 함양읍 용평리
265,1971.07.15,2007.03.27,성산포,,33.3868,126.8804,제주특별자치도 서귀포시 성산읍 신산리
266,2011.01.01,,광양시,광주지방기상청(156),34.943,127.691,전라남도 광양시 마동
268,2014.05.09,,진도군,목포기상대(165),34.4731,126.2585,전라남도 진도군 의신면 사천리
271,1988.01.01,,봉화,대구(구 143),36.9436,128.914,경상북도 봉화군 춘양면
272,1972.11.28,,영주,안동기상대(136),36.8719,128.517,경상북도 영주시 풍기읍
273,1973.01.01,,문경,대구(구 143),36.6273,128.148,경상북도 문경시 유곡동
276,2010.09.01,,청송군,안동기상대(136),36.4321,129.0423,경상북도 청송군 청송읍
277,1972.01.03,,영덕,포항기상대(138),36.5333,129.4094,경상북도 영덕군 영해면
278,1973.01.01,,의성,대구(구 143),36.3561,128.688,경상북도 의성군 의성읍
