"","variable.importance"
"MEAN_WATER_PRES",866785.789040825
"MEAN_DEW_TEMP",863393.769925509
"MEAN_MIN_GRA_TEMP",832884.607430883
"MEAN_TEMP",818524.527992419
"MEAN_MIN_TEMP",811686.394926485
"MEAN_SURF_TEMP",780866.148861523
"YD_FREQ",232822.479071414
"MONTH",201149.032146349
"EM9_NH3",86280.6017580725
"YEAR",85291.2989198497
"BEIJING_PM2.5",70928.1287370424
"O3",61881.726839863
"MIN_HUM",55166.3123210236
"Y_COORD",51453.6978551011
"MAX_SEA_PRES",50107.8128790711
"MEAN_SEA_PRES",47818.3094676952
"MAX_WATER_PRES",26687.7253111299
"MEAN_HUM",26085.4400659821
"X_COORD",22704.8388525987
"BEIJIING_PM2.5_STD",19603.3021967271
"PERC_SUN",18806.9609642018
"NO2",16263.1857980961
"EM3_NH3",15482.3314330053
"EM3_SOX",14786.4963124208
"EM5_VOC",14482.0684471651
"EM3_VOC",14264.6199719824
"EM3_NOX",13873.2127166537
"EM2_PM2.5",13027.2388417026
"EM7_PM2.5",13027.2388417026
"EM8_PM2.5",13027.2388417026
"CO",12764.0162376255
"EM7_SOX",8798.24890436468
"MIN_SEA_PRES",6188.10717597008
"MIN_WATER_PRES",5156.75597997507
"SUM_SUN",3857.23029182871
"EM8_VOC",2372.10775078852
