"","%IncMSE"
"YEAR",20.0772533411882
"MONTH",38.5970626540843
"SO2",26.1908326980717
"CO",18.6195763545801
"O3",28.3301679110554
"NO2",54.6414581570261
"MEAN_TEMP",13.796556464467
"MEAN_MAX_TEMP",10.8124450758601
"MEAN_MIN_TEMP",10.9716493277701
"MAX_TEMP",15.2803759985175
"MIN_TEMP",6.961727776695
"MEAN_PRES",15.6928472481447
"MEAN_SEA_PRES",15.4875110993421
"MAX_SEA_PRES",17.390632623523
"MIN_SEA_PRES",10.7149463294919
"MEAN_WATER_PRES",11.0816137103845
"MAX_WATER_PRES",10.6793709834468
"MIN_WATER_PRES",12.7186705529047
"MEAN_DEW_TEMP",11.9244700699777
"MEAN_HUM",10.941133571799
"MIN_HUM",14.4789166804305
"SUM_PRECI",18.3731255275045
"DAY_MAX_PRECI",20.731494490516
"HOUR_MAX_PRECI",14.9525071973608
"TEN_MINU_MAX_PRECI",12.1357033486054
"MEAN_WIND_SPED",16.9632395218593
"MAX_WIND_SPED",18.5234405892299
"MAX_INST_WIND_SPED",21.2899025580818
"MAX_WIND_DIR",14.3516744801614
"MAX_INST_WIND_DIR",18.5680972635765
"SUM_SUN",22.2198556640287
"PERC_SUN",19.395488229772
"MAX_SNOW_DEP",6.68998036475459
"MAX_NEW_SNOW_DEP",5.26494478800187
"SUM_SNOW",6.27510014664982
"MEAN_MIN_GRA_TEMP",12.1355468636727
"MIN_GRA_TEMP",12.098644523177
"MEAN_SURF_TEMP",13.7572579187875
"EM2_CO",23.5461952400147
"EM2_NOX",17.8125934466768
"EM2_SOX",22.0627486482085
"EM2_TSP",19.7795449835746
"EM2_PM10",19.7163654261119
"EM2_VOC",16.061985626266
"EM2_NH3",17.5872243338081
"EM2_PM2.5",0
"EM3_CO",14.7183217605373
"EM3_NOX",15.9449154245693
"EM3_SOX",20.1967610528768
"EM3_TSP",22.9639853078573
"EM3_PM10",23.9951208532406
"EM3_VOC",13.6201735489105
"EM3_NH3",16.7487756725223
"EM3_PM2.5",0
"EM4_CO",8.89849875745984
"EM4_NOX",7.44619636562466
"EM4_SOX",12.3264164629403
"EM4_TSP",13.9422038335888
"EM4_PM10",13.8976973379471
"EM4_VOC",16.1934866593758
"EM4_NH3",9.0919951138342
"EM4_PM2.5",0
"EM5_CO",0
"EM5_NOX",0
"EM5_SOX",0
"EM5_TSP",0
"EM5_PM10",0
"EM5_VOC",15.5690225137365
"EM5_NH3",0
"EM5_PM2.5",0
"EM6_CO",0
"EM6_NOX",0
"EM6_SOX",0
"EM6_TSP",0
"EM6_PM10",0
"EM6_VOC",19.5767502922887
"EM6_NH3",0
"EM6_PM2.5",0
"EM7_CO",17.6136337061873
"EM7_NOX",11.9921254394012
"EM7_SOX",21.8805102566389
"EM7_TSP",9.4746002619732
"EM7_PM10",7.88033781047543
"EM7_VOC",13.7617827949472
"EM7_NH3",20.0671145823655
"EM7_PM2.5",0
"EM8_CO",17.3170752803364
"EM8_NOX",13.6124619723851
"EM8_SOX",16.5149295693117
"EM8_TSP",18.6650531312051
"EM8_PM10",17.6631575562644
"EM8_VOC",8.61038616013769
"EM8_NH3",16.6853863596189
"EM8_PM2.5",0
"EM9_CO",16.2881328954289
"EM9_NOX",16.0271113709166
"EM9_SOX",13.0780026843257
"EM9_TSP",10.3902836396418
"EM9_PM10",13.8593720784937
"EM9_VOC",20.5977207595011
"EM9_NH3",0
"EM9_PM2.5",0
"POP_DEN",25.6679207187911
"YD_FREQ",36.6287325605336
"X_COORD",20.8903736704476
"Y_COORD",44.9809926124237
