"","var","rel.inf"
"MEAN_WATER_PRES","MEAN_WATER_PRES",21.541791887275
"MONTH","MONTH",17.8825436819913
"YD_FREQ","YD_FREQ",11.6009806078087
"MAX_WATER_PRES","MAX_WATER_PRES",8.31184479495444
"SO2","SO2",6.90985539804414
"Y_COORD","Y_COORD",4.17209435061963
"BEIJING_PM2.5","BEIJING_PM2.5",3.71775093845026
"NO2","NO2",3.45673745109045
"EM9_NH3","EM9_NH3",2.3552748628446
"BEIJIING_PM2.5_STD","BEIJIING_PM2.5_STD",2.31881919464651
"EM7_SOX","EM7_SOX",1.69104765439136
"SHANGHAI_PM2.5","SHANGHAI_PM2.5",1.20594110592449
"X_COORD","X_COORD",1.1723126840349
"EM2_PM2.5","EM2_PM2.5",1.03729533796157
"O3","O3",0.919381765047674
"MEAN_SEA_PRES","MEAN_SEA_PRES",0.843574448220373
"EM3_SOX","EM3_SOX",0.723222202203091
"EM8_PM2.5","EM8_PM2.5",0.684481973958431
"EM7_NOX","EM7_NOX",0.663381317462695
"MAX_TEMP","MAX_TEMP",0.655728857080854
"SUM_SUN","SUM_SUN",0.597094972752074
"EM3_NH3","EM3_NH3",0.58603693643822
"MEAN_WIND_SPED","MEAN_WIND_SPED",0.519757530032823
"SUM_PRECI","SUM_PRECI",0.469991091648159
"CO","CO",0.467447797359524
"POP_DEN","POP_DEN",0.466328542461527
"YEAR","YEAR",0.460708601110841
"EM2_CO","EM2_CO",0.415071707230203
"MEAN_HUM","MEAN_HUM",0.275803227783725
"EM4_NOX","EM4_NOX",0.275756761405806
"EM3_TSP","EM3_TSP",0.269492943361797
"MIN_SEA_PRES","MIN_SEA_PRES",0.251801662095072
"SHANGHAI_PM2.5_STD","SHANGHAI_PM2.5_STD",0.23753625902997
"MAX_SEA_PRES","MAX_SEA_PRES",0.234924544455563
"EM4_TSP","EM4_TSP",0.202434482986321
"MEAN_DEW_TEMP","MEAN_DEW_TEMP",0.202294720093546
"EM3_PM10","EM3_PM10",0.160650148441462
"EM7_TSP","EM7_TSP",0.154338319306256
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",0.15136672142046
"MIN_WATER_PRES","MIN_WATER_PRES",0.151055297662706
"EM2_NOX","EM2_NOX",0.13250597530439
"MEAN_PRES","MEAN_PRES",0.124421153206633
"MEAN_MIN_TEMP","MEAN_MIN_TEMP",0.122561714077436
"EM4_VOC","EM4_VOC",0.108618903884507
"TEN_MINU_MAX_PRECI","TEN_MINU_MAX_PRECI",0.103398280819107
"MEAN_MAX_TEMP","MEAN_MAX_TEMP",0.0852158463403107
"EM4_CO","EM4_CO",0.0846707940713734
"EM5_VOC","EM5_VOC",0.0819254330182276
"EM2_VOC","EM2_VOC",0.07994682603662
"PERC_SUN","PERC_SUN",0.0742407536801107
"DAY_MAX_PRECI","DAY_MAX_PRECI",0.0666796217556211
"EM8_NOX","EM8_NOX",0.0638000116333045
"EM2_TSP","EM2_TSP",0.0465878687380563
"EM3_CO","EM3_CO",0.0458509398655151
"EM4_NH3","EM4_NH3",0.0409368919993321
"EM8_NH3","EM8_NH3",0.036759768937919
"HOUR_MAX_PRECI","HOUR_MAX_PRECI",0.033237900513937
"MIN_GRA_TEMP","MIN_GRA_TEMP",0.0256146603528709
"EM3_NOX","EM3_NOX",0.0218289006959589
"EM8_TSP","EM8_TSP",0.0153171406486267
"SUM_SNOW","SUM_SNOW",0.0141126781178943
"MIN_TEMP","MIN_TEMP",0.0135260997820568
"EM2_PM10","EM2_PM10",0.0133468436969184
"EM7_VOC","EM7_VOC",0.0132807261091321
"MEAN_TEMP","MEAN_TEMP",0.0127891762711305
"EM2_SOX","EM2_SOX",0.0123713629716837
"MEAN_SURF_TEMP","MEAN_SURF_TEMP",0.0120869321256766
"EM4_SOX","EM4_SOX",0.0118931623068278
"MAX_SNOW_DEP","MAX_SNOW_DEP",0.0105172850053929
"EM8_SOX","EM8_SOX",0.0100173414634528
"MIN_HUM","MIN_HUM",0.00864497797264196
"EM2_NH3","EM2_NH3",0.00841677348372904
"EM7_PM2.5","EM7_PM2.5",0.00724351363949492
"EM4_PM10","EM4_PM10",0.0069741807612155
"MAX_INST_WIND_DIR","MAX_INST_WIND_DIR",0.00538517003203861
"EM9_VOC","EM9_VOC",0.0049973181606631
"MAX_INST_WIND_SPED","MAX_INST_WIND_SPED",0.0042263030042781
"EM8_PM10","EM8_PM10",0.00413372085535095
"EM6_VOC","EM6_VOC",0.003949577221827
"EM7_NH3","EM7_NH3",0.00337299924279749
"EM9_PM2.5","EM9_PM2.5",0.00288319462718202
"MAX_WIND_DIR","MAX_WIND_DIR",0.00276139120917223
"EM9_SOX","EM9_SOX",0.00214606877562979
"EM3_VOC","EM3_VOC",0.00165047063041015
"EM7_CO","EM7_CO",0.00120056586700145
"MAX_WIND_SPED","MAX_WIND_SPED",0
"MAX_NEW_SNOW_DEP","MAX_NEW_SNOW_DEP",0
"EM3_PM2.5","EM3_PM2.5",0
"EM4_PM2.5","EM4_PM2.5",0
"EM5_CO","EM5_CO",0
"EM5_NOX","EM5_NOX",0
"EM5_SOX","EM5_SOX",0
"EM5_TSP","EM5_TSP",0
"EM5_PM10","EM5_PM10",0
"EM5_NH3","EM5_NH3",0
"EM5_PM2.5","EM5_PM2.5",0
"EM6_CO","EM6_CO",0
"EM6_NOX","EM6_NOX",0
"EM6_SOX","EM6_SOX",0
"EM6_TSP","EM6_TSP",0
"EM6_PM10","EM6_PM10",0
"EM6_NH3","EM6_NH3",0
"EM6_PM2.5","EM6_PM2.5",0
"EM7_PM10","EM7_PM10",0
"EM8_CO","EM8_CO",0
"EM8_VOC","EM8_VOC",0
"EM9_CO","EM9_CO",0
"EM9_NOX","EM9_NOX",0
"EM9_TSP","EM9_TSP",0
"EM9_PM10","EM9_PM10",0
