"","variable.importance"
"MONTH",418513.12483017
"SHANGHAI_PM2.5",331946.308888332
"MAX_WATER_PRES",272128.172666094
"MIN_HUM",247274.513953646
"MEAN_MIN_GRA_TEMP",246200.838271245
"MEAN_DEW_TEMP",245932.46965138
"YD_FREQ",56862.8513781977
"TIANJIN_AQI",42055.0320037794
"SHANGHAI_PM2.5_STD",32096.4560195932
"BEIJIING_PM2.5_STD",31941.3650668671
"SUM_PRECI",29870.322667526
"MIN_SEA_PRES",29564.9104036351
"BEIJING_PM2.5",27511.1224322634
"BEIJING_AQI",21692.315330272
"MAX_TEMP",19465.0402239552
"YEAR",15704.6060139257
"X_COORD",14187.0504661566
"MIN_TEMP",13216.8739392448
"MEAN_MAX_TEMP",12521.248995074
"MEAN_TEMP",12521.248995074
"MIN_GRA_TEMP",12521.248995074
"PERC_SUN",11856.6670434739
"HOUR_MAX_PRECI",9723.82070045802
"DAY_MAX_PRECI",8978.15019186961
"TEN_MINU_MAX_PRECI",8587.38044121927
"SUM_SUN",6749.29986684842
"MAX_SEA_PRES",6188.05936963798
"MEAN_MIN_TEMP",6050.49252060778
"MEAN_SEA_PRES",5922.33133877192
"MEAN_HUM",3037.18494008178
