"","%IncMSE"
"YEAR",57.8778907433706
"MONTH",69.8165976694745
"SO2",60.6403180980783
"CO",33.0550403329632
"O3",48.7908561053621
"NO2",52.8394782982848
"MEAN_TEMP",15.7195134282198
"MEAN_MAX_TEMP",20.5871891558836
"MEAN_MIN_TEMP",14.6754957489116
"MAX_TEMP",24.0771004811792
"MIN_TEMP",24.3847440496053
"MEAN_PRES",23.8563543938965
"MEAN_SEA_PRES",19.8845962693792
"MAX_SEA_PRES",42.1471545939946
"MIN_SEA_PRES",31.5355294951338
"MEAN_WATER_PRES",61.230021753417
"MAX_WATER_PRES",14.5004928738271
"MIN_WATER_PRES",21.0590932475982
"MEAN_DEW_TEMP",8.56351604432816
"MEAN_HUM",25.5540497780105
"MIN_HUM",27.5103711588777
"SUM_PRECI",46.7724662435095
"DAY_MAX_PRECI",24.0267396029231
"HOUR_MAX_PRECI",16.4488986681276
"TEN_MINU_MAX_PRECI",15.7640785270539
"MEAN_WIND_SPED",33.144207647243
"MAX_WIND_SPED",30.3047586353318
"MAX_INST_WIND_SPED",29.758956244978
"MAX_WIND_DIR",20.3071257047813
"MAX_INST_WIND_DIR",28.1537531253721
"SUM_SUN",34.1930408473282
"PERC_SUN",29.682734048767
"MAX_SNOW_DEP",11.4617159964734
"MAX_NEW_SNOW_DEP",8.4495938523715
"SUM_SNOW",15.2330389764979
"MEAN_MIN_GRA_TEMP",18.8748864506337
"MIN_GRA_TEMP",21.1283230671517
"MEAN_SURF_TEMP",18.5395753466281
"BEIJING_PM2.5",36.2608554039097
"SHANGHAI_PM2.5",31.4525918433997
"BEIJIING_PM2.5_STD",42.0226774060506
"SHANGHAI_PM2.5_STD",20.1354661809554
"EM2_CO",36.4905692857773
"EM2_NOX",25.0330708196957
"EM2_SOX",22.0129968102778
"EM2_TSP",17.8934948993145
"EM2_PM10",18.3294528382042
"EM2_VOC",30.6099351425444
"EM2_NH3",22.0275923067611
"EM2_PM2.5",25.7577677595398
"EM3_CO",22.4649013344459
"EM3_NOX",18.7653216758684
"EM3_SOX",35.8387340796911
"EM3_TSP",36.3992007197948
"EM3_PM10",28.1788911870017
"EM3_VOC",20.1243213126108
"EM3_NH3",27.8156285386842
"EM3_PM2.5",17.9875340504825
"EM4_CO",21.295344788111
"EM4_NOX",23.5850470869557
"EM4_SOX",18.4399404827309
"EM4_TSP",18.6913918634367
"EM4_PM10",18.3941341075885
"EM4_VOC",24.6597405771229
"EM4_NH3",15.1839327388657
"EM4_PM2.5",15.5736237143239
"EM5_CO",0
"EM5_NOX",0
"EM5_SOX",0
"EM5_TSP",0
"EM5_PM10",0
"EM5_VOC",23.3364755243246
"EM5_NH3",0
"EM5_PM2.5",0
"EM6_CO",0
"EM6_NOX",0
"EM6_SOX",0
"EM6_TSP",0
"EM6_PM10",0
"EM6_VOC",31.769427555648
"EM6_NH3",0
"EM6_PM2.5",0
"EM7_CO",17.3505948507515
"EM7_NOX",26.9551959522123
"EM7_SOX",23.4017864252168
"EM7_TSP",12.4946850474709
"EM7_PM10",12.0330164665176
"EM7_VOC",17.5401766664445
"EM7_NH3",23.8531058966786
"EM7_PM2.5",11.7063758376156
"EM8_CO",12.6511684550997
"EM8_NOX",13.1550802480057
"EM8_SOX",28.4810170896228
"EM8_TSP",11.6247190197999
"EM8_PM10",11.7495626292723
"EM8_VOC",13.1101275283741
"EM8_NH3",25.9656318646262
"EM8_PM2.5",9.77542156346342
"EM9_CO",17.2459953093025
"EM9_NOX",16.6516911435473
"EM9_SOX",17.6400877733817
"EM9_TSP",12.5220971964777
"EM9_PM10",13.7519896336909
"EM9_VOC",24.3396283668635
"EM9_NH3",46.3485698398311
"EM9_PM2.5",12.7964010295936
"POP_DEN",47.1050507341154
"YD_FREQ",166.499330742721
"X_COORD",38.2916789812733
"Y_COORD",75.3619721312346
