"","variable.importance"
"YD_FREQ",738657.15949089
"NO2",368035.133489466
"MONTH",274724.862495629
"O3",175013.426893387
"POP_DEN",145763.269697933
"EM2_VOC",109362.510329342
"Y_COORD",98458.8051977254
"EM7_CO",89640.5206370324
"SUM_SUN",61521.0180252659
"MIN_HUM",57360.61119023
"MEAN_MIN_GRA_TEMP",56980.860985992
"MEAN_SURF_TEMP",56298.4554652017
"MIN_WATER_PRES",55291.1359984859
"MEAN_MAX_TEMP",53910.0361424355
"MEAN_TEMP",53910.0361424355
"PERC_SUN",53830.8907721076
"MEAN_SEA_PRES",53739.4347622379
"MEAN_HUM",41118.490377352
"MAX_WATER_PRES",35283.4939601668
"MEAN_WIND_SPED",23173.1060457123
"MIN_TEMP",20871.488289479
"MEAN_DEW_TEMP",19825.2984002821
"EM7_VOC",13068.8959471419
"MAX_WIND_SPED",5383.08907721077
"MAX_NEW_SNOW_DEP",2201.66068402621
"EM8_NH3",1538.02545063167
"EM8_NOX",1538.02545063167
