"","variable.importance"
"MEAN_WATER_PRES",354803.831087146
"MEAN_DEW_TEMP",347654.97755437
"MEAN_TEMP",336981.18763425
"MEAN_MIN_GRA_TEMP",333131.241688574
"MEAN_MIN_TEMP",331194.85143099
"MEAN_SURF_TEMP",327360.072621892
"MONTH",117355.138892503
"YD_FREQ",97788.6870798491
"BEIJIING_PM2.5_STD",80988.5417945219
"BEIJING_PM2.5",76531.3788316961
"MIN_SEA_PRES",42960.6120082342
"O3",38243.5802360297
"Y_COORD",26356.4742479941
"SUM_PRECI",23660.3550269712
"MAX_NEW_SNOW_DEP",20777.9624398788
"MEAN_SEA_PRES",20319.8938277332
"MAX_SNOW_DEP",19483.2524084477
"MEAN_MAX_TEMP",19311.8573193078
"MIN_HUM",18770.9315837393
"NO2",17978.3531290992
"X_COORD",16223.0283728628
"MIN_TEMP",15826.8591058794
"DAY_MAX_PRECI",15587.0582103357
"MIN_GRA_TEMP",15267.3236829442
"MAX_TEMP",14068.3192052261
"SUM_SUN",13683.4828367446
"MAX_WATER_PRES",12465.5402851078
"SUM_SNOW",11957.0279373336
"MAX_INST_WIND_SPED",6316.42167542797
"MAX_WIND_SPED",3158.21083771399
"MAX_INST_WIND_DIR",2105.4738918093
