"","%IncMSE"
"YEAR",16.5985562250509
"MONTH",22.9157892427706
"SO2",26.8428426103
"CO",18.4727774129171
"O3",17.3359886151636
"NO2",22.4632721627706
"MEAN_TEMP",7.17452873044414
"MEAN_MAX_TEMP",10.243606821505
"MEAN_MIN_TEMP",9.77337357557392
"MAX_TEMP",16.5432366372243
"MIN_TEMP",12.1439872590062
"MEAN_PRES",12.6627247010211
"MEAN_SEA_PRES",21.211138995972
"MAX_SEA_PRES",23.050265578677
"MIN_SEA_PRES",21.7329552882228
"MEAN_WATER_PRES",14.738671942901
"MAX_WATER_PRES",12.2509309826387
"MIN_WATER_PRES",13.2517442243162
"MEAN_DEW_TEMP",12.2534356150333
"MEAN_HUM",9.84436663375791
"MIN_HUM",11.5937525242321
"SUM_PRECI",20.3399291523742
"DAY_MAX_PRECI",14.0031943069806
"HOUR_MAX_PRECI",11.0962260116462
"TEN_MINU_MAX_PRECI",10.6431172623844
"MEAN_WIND_SPED",13.7247812887731
"MAX_WIND_SPED",15.0169679653939
"MAX_INST_WIND_SPED",16.6687685119624
"MAX_WIND_DIR",7.7517720226976
"MAX_INST_WIND_DIR",11.9625382860163
"SUM_SUN",16.8263159234937
"PERC_SUN",17.658739597291
"MAX_SNOW_DEP",7.53660792470665
"MAX_NEW_SNOW_DEP",6.97571203057407
"SUM_SNOW",7.05787335855525
"MEAN_MIN_GRA_TEMP",10.9186541958335
"MIN_GRA_TEMP",11.8117152228522
"MEAN_SURF_TEMP",9.94196504007217
"EM2_CO",14.3994537330227
"EM2_NOX",12.2967307181313
"EM2_SOX",10.5800313292672
"EM2_TSP",10.1998794274589
"EM2_PM10",10.2962716279726
"EM2_VOC",13.2394839346232
"EM2_NH3",11.2058550648501
"EM2_PM2.5",0
"EM3_CO",10.6640404906894
"EM3_NOX",11.4890373711984
"EM3_SOX",13.6526438449717
"EM3_TSP",17.1192702823057
"EM3_PM10",18.8182105546483
"EM3_VOC",11.4457518271781
"EM3_NH3",13.2619686753764
"EM3_PM2.5",0
"EM4_CO",9.35008524825894
"EM4_NOX",13.1639369787319
"EM4_SOX",10.5504412913965
"EM4_TSP",11.6015900351047
"EM4_PM10",10.6801781005022
"EM4_VOC",13.9127180401773
"EM4_NH3",8.10255715942811
"EM4_PM2.5",0
"EM5_CO",0
"EM5_NOX",0
"EM5_SOX",0
"EM5_TSP",0
"EM5_PM10",0
"EM5_VOC",8.44169362333187
"EM5_NH3",0
"EM5_PM2.5",0
"EM6_CO",0
"EM6_NOX",0
"EM6_SOX",0
"EM6_TSP",0
"EM6_PM10",0
"EM6_VOC",13.4186066007318
"EM6_NH3",0
"EM6_PM2.5",0
"EM7_CO",8.94081378491221
"EM7_NOX",13.0030584674586
"EM7_SOX",9.26023785368306
"EM7_TSP",12.3062306696421
"EM7_PM10",13.3826399872704
"EM7_VOC",9.66615242356897
"EM7_NH3",11.5025800036328
"EM7_PM2.5",0
"EM8_CO",8.6885717209669
"EM8_NOX",10.8265353195374
"EM8_SOX",12.5288174580004
"EM8_TSP",11.3867426862684
"EM8_PM10",10.9526242618743
"EM8_VOC",10.1722459734893
"EM8_NH3",9.65674100190389
"EM8_PM2.5",0
"EM9_CO",7.83006323549021
"EM9_NOX",10.267304279993
"EM9_SOX",8.47760753170429
"EM9_TSP",9.25463203576274
"EM9_PM10",9.02256747149943
"EM9_VOC",11.8564073627283
"EM9_NH3",20.566472352643
"EM9_PM2.5",0
"POP_DEN",17.5559303774298
"YD_FREQ",23.6215595538804
"X_COORD",20.8297375230049
"Y_COORD",31.6000815999673
