"","%IncMSE"
"YEAR",7.11327871629873
"MONTH",34.6482914065981
"SO2",22.4057956128094
"CO",15.5189985877693
"O3",17.6059662308101
"NO2",24.3371445850366
"MEAN_TEMP",12.4311570842259
"MEAN_MAX_TEMP",9.4549121142891
"MEAN_MIN_TEMP",8.78936615943259
"MAX_TEMP",10.1584765613563
"MIN_TEMP",9.58487205553125
"MEAN_PRES",12.8136755834584
"MEAN_SEA_PRES",18.1777275932966
"MAX_SEA_PRES",14.1261727086139
"MIN_SEA_PRES",16.2140532215806
"MEAN_WATER_PRES",9.71685684634778
"MAX_WATER_PRES",11.4978586603212
"MIN_WATER_PRES",7.32352097706835
"MEAN_DEW_TEMP",9.60144317683541
"MEAN_HUM",8.98499629743884
"MIN_HUM",11.2766793638139
"SUM_PRECI",19.1240673482227
"DAY_MAX_PRECI",12.2601906364554
"HOUR_MAX_PRECI",7.30297932444541
"TEN_MINU_MAX_PRECI",7.513698435513
"MEAN_WIND_SPED",16.1872510470482
"MAX_WIND_SPED",17.0339532164718
"MAX_INST_WIND_SPED",20.2402496350997
"MAX_WIND_DIR",11.458737497052
"MAX_INST_WIND_DIR",12.5111989449005
"SUM_SUN",19.1192710175552
"PERC_SUN",12.26823551346
"MAX_SNOW_DEP",6.95630972983016
"MAX_NEW_SNOW_DEP",7.92229021025794
"SUM_SNOW",6.42209355042384
"MEAN_MIN_GRA_TEMP",7.08090975921729
"MIN_GRA_TEMP",12.3730190192286
"MEAN_SURF_TEMP",12.0487231149571
"BEIJING_PM2.5",12.4690885940603
"SHANGHAI_PM2.5",20.4375343683343
"BEIJIING_PM2.5_STD",20.0306476923393
"SHANGHAI_PM2.5_STD",14.5742745780915
"EM2_CO",20.8645692205664
"EM2_NOX",13.9727445757618
"EM2_SOX",14.3815163194955
"EM2_TSP",13.3862955916804
"EM2_PM10",12.9955295572969
"EM2_VOC",16.0373280157745
"EM2_NH3",13.5658030376722
"EM2_PM2.5",13.175274792465
"EM3_CO",14.7693614880412
"EM3_NOX",14.3042020278224
"EM3_SOX",16.7070288227142
"EM3_TSP",20.6488125974371
"EM3_PM10",16.2428010911793
"EM3_VOC",12.2850468972204
"EM3_NH3",21.0245072689235
"EM3_PM2.5",15.0069272344285
"EM4_CO",14.3700838630984
"EM4_NOX",12.2558205613082
"EM4_SOX",11.763314456249
"EM4_TSP",12.5263405629551
"EM4_PM10",12.7469293074842
"EM4_VOC",10.3808753140524
"EM4_NH3",7.67982597011623
"EM4_PM2.5",11.641996612305
"EM5_CO",0
"EM5_NOX",0
"EM5_SOX",0
"EM5_TSP",0
"EM5_PM10",0
"EM5_VOC",13.8467075231067
"EM5_NH3",0
"EM5_PM2.5",0
"EM6_CO",0
"EM6_NOX",0
"EM6_SOX",0
"EM6_TSP",0
"EM6_PM10",0
"EM6_VOC",15.4542145823735
"EM6_NH3",0
"EM6_PM2.5",0
"EM7_CO",10.9305608315255
"EM7_NOX",14.6703352784851
"EM7_SOX",13.4171351176352
"EM7_TSP",8.68682185294359
"EM7_PM10",11.8457240589717
"EM7_VOC",12.6964252991747
"EM7_NH3",11.8226182954999
"EM7_PM2.5",13.0966663366109
"EM8_CO",7.44730941010818
"EM8_NOX",10.6029193963586
"EM8_SOX",12.2360549729906
"EM8_TSP",10.1653657301039
"EM8_PM10",9.6741379007177
"EM8_VOC",9.26014870471272
"EM8_NH3",10.2044504645859
"EM8_PM2.5",10.266325240618
"EM9_CO",9.89879833821688
"EM9_NOX",10.0282185704027
"EM9_SOX",10.5141528513353
"EM9_TSP",9.6367739154781
"EM9_PM10",7.52372655424978
"EM9_VOC",12.8206709472524
"EM9_NH3",17.9156987675925
"EM9_PM2.5",7.73402982617671
"POP_DEN",19.5225135279342
"YD_FREQ",3.8332276734981
"X_COORD",19.6268880689673
"Y_COORD",26.8211092221863
