"","var","rel.inf"
"SHANGHAI_PM2.5","SHANGHAI_PM2.5",28.176187555788
"MONTH","MONTH",24.788286468273
"SO2","SO2",7.85274039570828
"Y_COORD","Y_COORD",4.91278638596894
"EM7_NOX","EM7_NOX",2.29607047848847
"MEAN_SEA_PRES","MEAN_SEA_PRES",2.08514188222181
"EM3_NH3","EM3_NH3",1.79153798637069
"EM2_SOX","EM2_SOX",1.74457890125643
"SUM_SUN","SUM_SUN",1.60230884826815
"NO2","NO2",1.35061707737029
"YD_FREQ","YD_FREQ",1.30743047640671
"EM9_NH3","EM9_NH3",1.17895204677758
"MEAN_WIND_SPED","MEAN_WIND_SPED",1.03762212495726
"EM9_NOX","EM9_NOX",1.02098457553091
"EM2_CO","EM2_CO",0.949784467957124
"SUM_PRECI","SUM_PRECI",0.895042869042741
"MEAN_SURF_TEMP","MEAN_SURF_TEMP",0.871257808334844
"O3","O3",0.863314884527557
"MEAN_TEMP","MEAN_TEMP",0.772746658557602
"EM3_CO","EM3_CO",0.751105396837504
"MIN_SEA_PRES","MIN_SEA_PRES",0.727083045707466
"MAX_WATER_PRES","MAX_WATER_PRES",0.671813208193445
"EM3_TSP","EM3_TSP",0.657424553270999
"MAX_SEA_PRES","MAX_SEA_PRES",0.586644049357825
"MEAN_MIN_TEMP","MEAN_MIN_TEMP",0.583944548529089
"X_COORD","X_COORD",0.583623961632758
"BEIJING_PM2.5","BEIJING_PM2.5",0.576082563985974
"SHANGHAI_PM2.5_STD","SHANGHAI_PM2.5_STD",0.474098249930245
"BEIJIING_PM2.5_STD","BEIJIING_PM2.5_STD",0.462799164864703
"CO","CO",0.431234454221129
"EM4_VOC","EM4_VOC",0.430440458622578
"EM2_TSP","EM2_TSP",0.358614507883482
"EM9_SOX","EM9_SOX",0.337897210103062
"EM2_NOX","EM2_NOX",0.335836111549282
"EM4_CO","EM4_CO",0.3195548749002
"MAX_INST_WIND_SPED","MAX_INST_WIND_SPED",0.318332743379405
"EM9_CO","EM9_CO",0.315794551750012
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",0.312941243840988
"POP_DEN","POP_DEN",0.312712370035492
"EM7_TSP","EM7_TSP",0.301970065191017
"EM3_SOX","EM3_SOX",0.296861451444154
"EM4_NH3","EM4_NH3",0.274556012215547
"EM4_NOX","EM4_NOX",0.265284224646898
"YEAR","YEAR",0.26124754532624
"MEAN_DEW_TEMP","MEAN_DEW_TEMP",0.252134301326672
"MAX_TEMP","MAX_TEMP",0.236785990052056
"TEN_MINU_MAX_PRECI","TEN_MINU_MAX_PRECI",0.216546710004576
"EM2_PM2.5","EM2_PM2.5",0.199033106091824
"MIN_TEMP","MIN_TEMP",0.177269209499263
"MEAN_PRES","MEAN_PRES",0.176176454759557
"MEAN_MAX_TEMP","MEAN_MAX_TEMP",0.173194011464246
"EM5_VOC","EM5_VOC",0.154544077029436
"EM3_PM10","EM3_PM10",0.150285807400438
"EM7_SOX","EM7_SOX",0.146368019283129
"EM4_TSP","EM4_TSP",0.131608244383058
"EM3_NOX","EM3_NOX",0.129953161787477
"EM3_PM2.5","EM3_PM2.5",0.124826711473818
"EM8_NOX","EM8_NOX",0.121494321106517
"EM9_PM2.5","EM9_PM2.5",0.117608927563679
"EM6_VOC","EM6_VOC",0.109651179779123
"EM8_SOX","EM8_SOX",0.0868743060739947
"EM4_SOX","EM4_SOX",0.0813958862678749
"PERC_SUN","PERC_SUN",0.0761289213186245
"EM8_TSP","EM8_TSP",0.0674987658138997
"EM8_NH3","EM8_NH3",0.0662177182163658
"EM9_VOC","EM9_VOC",0.0522053076655085
"EM7_NH3","EM7_NH3",0.0516677639217988
"EM2_VOC","EM2_VOC",0.0492849257469156
"MEAN_HUM","MEAN_HUM",0.0488145551531501
"MAX_WIND_SPED","MAX_WIND_SPED",0.046092266660987
"EM9_TSP","EM9_TSP",0.0352738839214633
"EM3_VOC","EM3_VOC",0.0309777666147824
"EM2_NH3","EM2_NH3",0.0303820651866795
"EM2_PM10","EM2_PM10",0.0289647506348745
"EM7_PM2.5","EM7_PM2.5",0.0260844188162392
"MAX_INST_WIND_DIR","MAX_INST_WIND_DIR",0.0240138173997194
"EM7_VOC","EM7_VOC",0.0212477592698245
"EM8_PM10","EM8_PM10",0.0139473507797311
"DAY_MAX_PRECI","DAY_MAX_PRECI",0.0129185290308718
"MIN_GRA_TEMP","MIN_GRA_TEMP",0.0128380997411766
"EM7_CO","EM7_CO",0.0117873535342856
"HOUR_MAX_PRECI","HOUR_MAX_PRECI",0.0109520818969926
"MIN_WATER_PRES","MIN_WATER_PRES",0.00958223960447842
"EM4_PM10","EM4_PM10",0.00853166488388741
"EM8_CO","EM8_CO",0.00749687780189165
"MIN_HUM","MIN_HUM",0.00601302545542906
"EM4_PM2.5","EM4_PM2.5",0.00441293574466171
"MAX_WIND_DIR","MAX_WIND_DIR",0.00372984672653089
"EM8_VOC","EM8_VOC",0.00291711824169897
"MEAN_WATER_PRES","MEAN_WATER_PRES",0.00260950526868377
"SUM_SNOW","SUM_SNOW",0.00184738435186061
"EM8_PM2.5","EM8_PM2.5",0.00172361983085342
"MAX_SNOW_DEP","MAX_SNOW_DEP",0.00170586068405277
"EM9_PM10","EM9_PM10",0.00109293550947056
"MAX_NEW_SNOW_DEP","MAX_NEW_SNOW_DEP",0
"EM5_CO","EM5_CO",0
"EM5_NOX","EM5_NOX",0
"EM5_SOX","EM5_SOX",0
"EM5_TSP","EM5_TSP",0
"EM5_PM10","EM5_PM10",0
"EM5_NH3","EM5_NH3",0
"EM5_PM2.5","EM5_PM2.5",0
"EM6_CO","EM6_CO",0
"EM6_NOX","EM6_NOX",0
"EM6_SOX","EM6_SOX",0
"EM6_TSP","EM6_TSP",0
"EM6_PM10","EM6_PM10",0
"EM6_NH3","EM6_NH3",0
"EM6_PM2.5","EM6_PM2.5",0
"EM7_PM10","EM7_PM10",0
