"","var","rel.inf"
"MEAN_WATER_PRES","MEAN_WATER_PRES",16.1905102274208
"MONTH","MONTH",13.965841074925
"YD_FREQ","YD_FREQ",8.90832057166295
"MAX_WATER_PRES","MAX_WATER_PRES",5.76226256826236
"SO2","SO2",5.57109160944066
"BEIJING_PM2.5","BEIJING_PM2.5",4.31318913333424
"Y_COORD","Y_COORD",4.23630765334194
"NO2","NO2",3.32303282764884
"EM9_NH3","EM9_NH3",2.23115724185822
"X_COORD","X_COORD",2.13007633270347
"BEIJIING_PM2.5_STD","BEIJIING_PM2.5_STD",2.05734371725731
"MEAN_SEA_PRES","MEAN_SEA_PRES",1.48819402752662
"SHANGHAI_PM2.5","SHANGHAI_PM2.5",1.35043632052414
"O3","O3",1.29079866870758
"SUM_SUN","SUM_SUN",1.27992745651948
"EM7_SOX","EM7_SOX",1.17258365278347
"POP_DEN","POP_DEN",1.10933058407147
"EM3_SOX","EM3_SOX",0.997691430385816
"MAX_TEMP","MAX_TEMP",0.958547135418585
"CO","CO",0.91431553806687
"EM2_CO","EM2_CO",0.90278932763495
"EM7_NOX","EM7_NOX",0.863408768738585
"SUM_PRECI","SUM_PRECI",0.841510738520393
"MEAN_WIND_SPED","MEAN_WIND_SPED",0.785766133260286
"EM2_PM2.5","EM2_PM2.5",0.741093517579479
"EM8_PM2.5","EM8_PM2.5",0.73604963348667
"EM4_VOC","EM4_VOC",0.723295199928722
"MAX_SEA_PRES","MAX_SEA_PRES",0.679277868881581
"MIN_SEA_PRES","MIN_SEA_PRES",0.624682455411616
"EM3_NH3","EM3_NH3",0.558033786750847
"YEAR","YEAR",0.515846181582272
"MEAN_PRES","MEAN_PRES",0.512984399040954
"EM4_NOX","EM4_NOX",0.502296874695195
"MEAN_HUM","MEAN_HUM",0.486119972370155
"EM2_NOX","EM2_NOX",0.475130877891118
"EM8_SOX","EM8_SOX",0.386862257572255
"EM2_VOC","EM2_VOC",0.38423948497642
"EM6_VOC","EM6_VOC",0.380747490778924
"SHANGHAI_PM2.5_STD","SHANGHAI_PM2.5_STD",0.374610487002664
"EM4_CO","EM4_CO",0.370888403323996
"EM5_VOC","EM5_VOC",0.339290705434325
"EM4_TSP","EM4_TSP",0.333372698856497
"EM9_CO","EM9_CO",0.300177752511911
"MIN_WATER_PRES","MIN_WATER_PRES",0.292798072195979
"EM3_TSP","EM3_TSP",0.28753703454628
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",0.287265581708013
"EM9_SOX","EM9_SOX",0.280434040575601
"EM7_TSP","EM7_TSP",0.272610493519115
"MEAN_MAX_TEMP","MEAN_MAX_TEMP",0.266476041515162
"SUM_SNOW","SUM_SNOW",0.260141448965817
"EM2_PM10","EM2_PM10",0.242177469442906
