"","var","rel.inf"
"MEAN_WATER_PRES","MEAN_WATER_PRES",13.9565946932831
"YD_FREQ","YD_FREQ",12.2695441897052
"MONTH","MONTH",9.23127633152409
"SO2","SO2",5.47577204083805
"BEIJING_PM2.5","BEIJING_PM2.5",5.25061194234247
"Y_COORD","Y_COORD",4.61404375564978
"NO2","NO2",4.06744336764474
"MEAN_TEMP","MEAN_TEMP",3.09099516191458
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",3.02572736713346
"MIN_SEA_PRES","MIN_SEA_PRES",2.93764828864256
"BEIJIING_PM2.5_STD","BEIJIING_PM2.5_STD",2.16042144747341
"X_COORD","X_COORD",1.79786297622559
"EM9_NH3","EM9_NH3",1.67258450857129
"EM3_SOX","EM3_SOX",1.41005471828624
"MAX_WATER_PRES","MAX_WATER_PRES",1.38276405364039
"CO","CO",1.329504440653
"POP_DEN","POP_DEN",1.05423617796807
"EM2_CO","EM2_CO",0.991973269936519
"EM7_NOX","EM7_NOX",0.868212499742293
"MAX_TEMP","MAX_TEMP",0.843322866838105
"EM2_VOC","EM2_VOC",0.807637025678206
"SUM_PRECI","SUM_PRECI",0.681623425917103
"O3","O3",0.677789779448777
"MAX_SEA_PRES","MAX_SEA_PRES",0.670825269767193
"MEAN_SEA_PRES","MEAN_SEA_PRES",0.649324083686418
"SUM_SUN","SUM_SUN",0.636835793633353
"MEAN_PRES","MEAN_PRES",0.624910272065169
"EM4_VOC","EM4_VOC",0.616182306362025
"EM4_NOX","EM4_NOX",0.597342480368744
"MEAN_HUM","MEAN_HUM",0.572558999483028
"PERC_SUN","PERC_SUN",0.563250559420466
"EM4_TSP","EM4_TSP",0.560826319893228
"EM2_NOX","EM2_NOX",0.552176720161046
"MEAN_WIND_SPED","MEAN_WIND_SPED",0.545846744469609
"EM7_TSP","EM7_TSP",0.520983912292625
"EM4_CO","EM4_CO",0.513618789385781
"EM3_TSP","EM3_TSP",0.478287744261543
"EM2_PM10","EM2_PM10",0.473420543695064
"MEAN_SURF_TEMP","MEAN_SURF_TEMP",0.473368935490047
"EM2_NH3","EM2_NH3",0.451596584135718
"EM8_SOX","EM8_SOX",0.440659203426868
