"","var","rel.inf"
"MONTH","MONTH",38.0109058229188
"YD_FREQ","YD_FREQ",8.02181124895307
"SHANGHAI_PM2.5","SHANGHAI_PM2.5",5.94552559834224
"BEIJIING_PM2.5_STD","BEIJIING_PM2.5_STD",4.17346213910956
"SO2","SO2",3.65401737008376
"Y_COORD","Y_COORD",3.50940716443627
"POP_DEN","POP_DEN",3.11575180945589
"X_COORD","X_COORD",2.83762168534794
"NO2","NO2",2.72118527904953
"BEIJING_AQI","BEIJING_AQI",2.43621917919227
"MIN_SEA_PRES","MIN_SEA_PRES",2.27939323980994
"MAX_SEA_PRES","MAX_SEA_PRES",2.2018216165758
"SUM_PRECI","SUM_PRECI",1.93538148741111
"TIANJIN_AQI","TIANJIN_AQI",1.91121981104204
"CO","CO",1.42807772270612
"MEAN_SEA_PRES","MEAN_SEA_PRES",1.10687107202475
"SHANGHAI_PM2.5_STD","SHANGHAI_PM2.5_STD",1.09531770286796
"PERC_SUN","PERC_SUN",1.06000711371546
"BEIJING_PM2.5","BEIJING_PM2.5",0.888638339376263
"MIN_TEMP","MIN_TEMP",0.805237956120628
"MEAN_WIND_SPED","MEAN_WIND_SPED",0.779555849906042
"MEAN_PRES","MEAN_PRES",0.776733486764747
"O3","O3",0.721792151931083
"MAX_WIND_SPED","MAX_WIND_SPED",0.700622610483043
"SUM_SUN","SUM_SUN",0.684051608115496
"MAX_INST_WIND_DIR","MAX_INST_WIND_DIR",0.651689843304239
"MEAN_MIN_TEMP","MEAN_MIN_TEMP",0.643186374782308
"MEAN_HUM","MEAN_HUM",0.514527303925345
"MEAN_MAX_TEMP","MEAN_MAX_TEMP",0.488504381156134
"MAX_WATER_PRES","MAX_WATER_PRES",0.429740650404075
"MEAN_SURF_TEMP","MEAN_SURF_TEMP",0.418962875095226
"DAY_MAX_PRECI","DAY_MAX_PRECI",0.404123981565408
"MIN_HUM","MIN_HUM",0.386080245367626
"MIN_WATER_PRES","MIN_WATER_PRES",0.381991529912403
"MAX_TEMP","MAX_TEMP",0.344930162930127
"SUM_SNOW","SUM_SNOW",0.327377880200068
"MEAN_TEMP","MEAN_TEMP",0.314606589691288
"YEAR","YEAR",0.283487495297533
"MAX_INST_WIND_SPED","MAX_INST_WIND_SPED",0.274068819584546
"MEAN_MIN_GRA_TEMP","MEAN_MIN_GRA_TEMP",0.262190720359438
"MIN_GRA_TEMP","MIN_GRA_TEMP",0.239281760204599
"MAX_WIND_DIR","MAX_WIND_DIR",0.191741357349839
"MEAN_DEW_TEMP","MEAN_DEW_TEMP",0.184675967628958
"TEN_MINU_MAX_PRECI","TEN_MINU_MAX_PRECI",0.14919733152519
"MEAN_WATER_PRES","MEAN_WATER_PRES",0.127446069087751
"HOUR_MAX_PRECI","HOUR_MAX_PRECI",0.114465655247712
"MAX_SNOW_DEP","MAX_SNOW_DEP",0.0355798503084693
"MAX_NEW_SNOW_DEP","MAX_NEW_SNOW_DEP",0.0315140893319629
