"","%IncMSE"
"YEAR",16.7191209028987
"MONTH",60.9134983255212
"SO2",24.154103987285
"CO",23.4732748059343
"O3",35.7552096364081
"NO2",112.617478215238
"MEAN_TEMP",8.86998089288444
"MEAN_MAX_TEMP",14.4955123610817
"MEAN_MIN_TEMP",9.02524430246048
"MAX_TEMP",18.0494280891758
"MIN_TEMP",4.70185786833443
"MEAN_PRES",18.7535217590975
"MEAN_SEA_PRES",11.0717882705874
"MAX_SEA_PRES",10.0615472495268
"MIN_SEA_PRES",21.3342756382445
"MEAN_WATER_PRES",10.3449770532973
"MAX_WATER_PRES",10.1755526339817
"MIN_WATER_PRES",20.6379163619587
"MEAN_DEW_TEMP",10.7642478941885
"MEAN_HUM",23.6071601917125
"MIN_HUM",10.6841743862326
"SUM_PRECI",22.0072968511214
"DAY_MAX_PRECI",21.0023919289778
"HOUR_MAX_PRECI",13.3052088591688
"TEN_MINU_MAX_PRECI",12.9728623766147
"MEAN_WIND_SPED",19.3657516196746
"MAX_WIND_SPED",18.2896727718478
"MAX_INST_WIND_SPED",20.927607418921
"MAX_WIND_DIR",15.2665282618641
"MAX_INST_WIND_DIR",32.6615093608435
"SUM_SUN",28.4080433805984
"PERC_SUN",19.7120099922742
"MAX_SNOW_DEP",3.84644450955107
"MAX_NEW_SNOW_DEP",6.13273127117824
"SUM_SNOW",4.79006323083316
"MEAN_MIN_GRA_TEMP",9.60591827340349
"MIN_GRA_TEMP",9.21148716157875
"MEAN_SURF_TEMP",29.2161524153141
"EM2_CO",27.368072385114
"EM2_NOX",18.0532377715511
"EM2_SOX",20.5577335609194
"EM2_TSP",17.7643154722146
"EM2_PM10",15.9666607472319
"EM2_VOC",22.7662086278222
"EM2_NH3",15.1149780738101
"EM2_PM2.5",0
"EM3_CO",11.4584301314371
"EM3_NOX",14.9085493434159
"EM3_SOX",21.5421964497487
"EM3_TSP",18.9893427914121
"EM3_PM10",17.9839846286076
"EM3_VOC",15.3399565420569
"EM3_NH3",20.5987050994769
"EM3_PM2.5",0
"EM4_CO",8.2801146429893
"EM4_NOX",8.37232989532136
"EM4_SOX",10.8577904145227
"EM4_TSP",14.575308706425
"EM4_PM10",12.1104015037551
"EM4_VOC",18.3484125062873
"EM4_NH3",12.3275411997643
"EM4_PM2.5",0
"EM5_CO",0
"EM5_NOX",0
"EM5_SOX",0
"EM5_TSP",0
"EM5_PM10",0
"EM5_VOC",16.9594731726212
"EM5_NH3",0
"EM5_PM2.5",0
"EM6_CO",0
"EM6_NOX",0
"EM6_SOX",0
"EM6_TSP",0
"EM6_PM10",0
"EM6_VOC",19.0448933359675
"EM6_NH3",0
"EM6_PM2.5",0
"EM7_CO",18.5902209258288
"EM7_NOX",18.788058799623
"EM7_SOX",23.0490796279171
"EM7_TSP",8.21636192868287
"EM7_PM10",5.09793024502243
"EM7_VOC",18.6876662588666
"EM7_NH3",20.0055796094404
"EM7_PM2.5",0
"EM8_CO",12.7548088000347
"EM8_NOX",13.9585921068289
"EM8_SOX",22.4159378892241
"EM8_TSP",12.9962178524767
"EM8_PM10",14.7634604320476
"EM8_VOC",12.9540071047707
"EM8_NH3",15.2468762720614
"EM8_PM2.5",0
"EM9_CO",15.5347396299242
"EM9_NOX",13.3662668734176
"EM9_SOX",16.0254249057123
"EM9_TSP",11.7996691727443
"EM9_PM10",12.5904994391895
"EM9_VOC",23.3897267974372
"EM9_NH3",0
"EM9_PM2.5",0
"POP_DEN",42.35880926866
"YD_FREQ",94.8245340216621
"X_COORD",34.8421558453435
"Y_COORD",68.6595268456456
