"CODE","NAME","MONTH","YD","YEAR"
105,"강릉",1,2,2001
201,"강화",1,1,2001
294,"거제",1,1,2001
185,"고산",1,1,2001
251,"고창군",1,0,2001
156,"광주",1,1,2001
279,"구미",1,1,2001
140,"군산",1,1,2001
238,"금산",1,1,2001
247,"남원",1,0,2001
295,"남해",1,1,2001
100,"대관령",1,2,2001
143,"대구",1,1,2001
133,"대전",1,1,2001
98,"동두천",1,1,2001
106,"동해",1,2,2001
165,"목포",1,1,2001
102,"백령도",1,1,2001
235,"보령",1,1,2001
159,"부산",1,2,2001
189,"서귀포",1,1,2001
129,"서산",1,1,2001
108,"서울",1,1,2001
188,"성산",1,0,2001
90,"속초",1,2,2001
119,"수원",1,1,2001
136,"안동",1,1,2001
168,"여수",1,1,2001
277,"영덕",1,1,2001
121,"영월",1,2,2001
281,"영천",1,1,2001
170,"완도",1,1,2001
115,"울릉도",1,2,2001
152,"울산",1,1,2001
130,"울진",1,1,2001
114,"원주",1,1,2001
203,"이천",1,0,2001
112,"인천",1,1,2001
146,"전주",1,2,2001
245,"정읍",1,0,2001
184,"제주",1,1,2001
192,"진주",1,1,2001
155,"창원",1,1,2001
232,"천안",1,0,2001
95,"철원",1,1,2001
131,"청주",1,1,2001
135,"추풍령",1,1,2001
101,"춘천",1,2,2001
127,"충주",1,1,2001
162,"통영",1,1,2001
99,"파주",1,0,2001
138,"포항",1,1,2001
169,"흑산도",1,1,2001
294,"거제",2,0,2001
284,"거창",2,0,2001
185,"고산",2,0,2001
251,"고창군",2,0,2001
156,"광주",2,0,2001
279,"구미",2,0,2001
140,"군산",2,0,2001
247,"남원",2,0,2001
100,"대관령",2,0,2001
143,"대구",2,0,2001
133,"대전",2,0,2001
98,"동두천",2,0,2001
106,"동해",2,0,2001
165,"목포",2,0,2001
102,"백령도",2,0,2001
235,"보령",2,0,2001
159,"부산",2,0,2001
104,"북강릉",2,0,2001
137,"상주",2,0,2001
189,"서귀포",2,0,2001
129,"서산",2,0,2001
108,"서울",2,0,2001
188,"성산",2,0,2001
90,"속초",2,0,2001
119,"수원",2,0,2001
136,"안동",2,0,2001
168,"여수",2,0,2001
121,"영월",2,0,2001
170,"완도",2,0,2001
115,"울릉도",2,0,2001
152,"울산",2,0,2001
130,"울진",2,0,2001
114,"원주",2,0,2001
203,"이천",2,0,2001
112,"인천",2,0,2001
146,"전주",2,0,2001
245,"정읍",2,0,2001
184,"제주",2,0,2001
175,"진도(첨찰산)",2,0,2001
192,"진주",2,0,2001
155,"창원",2,0,2001
232,"천안",2,0,2001
95,"철원",2,0,2001
131,"청주",2,0,2001
135,"추풍령",2,0,2001
101,"춘천",2,0,2001
127,"충주",2,0,2001
162,"통영",2,0,2001
99,"파주",2,0,2001
138,"포항",2,0,2001
285,"합천",2,0,2001
169,"흑산도",2,0,2001
105,"강릉",3,9,2001
201,"강화",3,10,2001
294,"거제",3,5,2001
284,"거창",3,2,2001
185,"고산",3,11,2001
251,"고창군",3,0,2001
156,"광주",3,10,2001
279,"구미",3,7,2001
140,"군산",3,11,2001
238,"금산",3,0,2001
247,"남원",3,0,2001
295,"남해",3,5,2001
100,"대관령",3,8,2001
143,"대구",3,9,2001
133,"대전",3,11,2001
98,"동두천",3,11,2001
106,"동해",3,9,2001
165,"목포",3,8,2001
288,"밀양",3,4,2001
102,"백령도",3,12,2001
235,"보령",3,0,2001
159,"부산",3,7,2001
104,"북강릉",3,0,2001
289,"산청",3,8,2001
137,"상주",3,0,2001
189,"서귀포",3,11,2001
129,"서산",3,11,2001
108,"서울",3,11,2001
188,"성산",3,0,2001
90,"속초",3,10,2001
119,"수원",3,11,2001
136,"안동",3,10,2001
168,"여수",3,8,2001
277,"영덕",3,8,2001
121,"영월",3,11,2001
281,"영천",3,7,2001
170,"완도",3,8,2001
115,"울릉도",3,3,2001
152,"울산",3,8,2001
130,"울진",3,10,2001
114,"원주",3,11,2001
203,"이천",3,0,2001
112,"인천",3,12,2001
146,"전주",3,10,2001
245,"정읍",3,0,2001
184,"제주",3,11,2001
175,"진도(첨찰산)",3,0,2001
192,"진주",3,8,2001
155,"창원",3,8,2001
232,"천안",3,0,2001
95,"철원",3,12,2001
131,"청주",3,11,2001
135,"추풍령",3,10,2001
101,"춘천",3,13,2001
127,"충주",3,11,2001
162,"통영",3,8,2001
99,"파주",3,0,2001
138,"포항",3,9,2001
285,"합천",3,7,2001
212,"홍천",3,0,2001
169,"흑산도",3,8,2001
105,"강릉",4,7,2001
