관측분야 : 지상
조회기간 : 월별: 2001 ~ 2010년 04월
관측지점 : 강릉(105), 강진군(259), 강화(201), 거제(294), 거창(284), 경주시(283), 고산(185), 고창(172), 고창군(251), 고흥(262), 광양시(266), 광주(156), 구미(279), 군산(140), 금산(238), 김해시(253), 남원(247), 남해(295), 대관령(100), 대구(143), 대구(기)(176), 대전(133), 동두천(98), 동해(106), 목포(165), 문경(273), 밀양(288), 백령도(102), 보령(235), 보성군(258), 보은(226), 봉화(271), 부산(159), 부안(243), 부여(236), 북강릉(104), 북창원(255), 북춘천(93), 산청(289), 상주(137), 서귀포(189), 서산(129), 서울(108), 성산(188), 속초(90), 수원(119), 순창군(254), 순천(174), 안동(136), 양산시(257), 양평(202), 여수(168), 영광군(252), 영덕(277), 영월(121), 영주(272), 영천(281), 완도(170), 울릉도(115), 울산(152), 울진(130), 원주(114), 의령군(263), 의성(278), 이천(203), 인제(211), 인천(112), 임실(244), 장수(248), 장흥(260), 전주(146), 정선군(217), 정읍(245), 제주(184), 제천(221), 진도(첨찰산)(175), 진도군(268), 진주(192), 창원(155), 천안(232), 철원(95), 청송군(276), 청주(131), 추풍령(135), 춘천(101), 충주(127), 태백(216), 통영(162), 파주(99), 포항(138), 함양군(264), 합천(285), 해남(261), 홍성(예)(177), 홍천(212), 흑산도(169)
출력기후요소 : 황사일수

지점번호,지점,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,합계 (day),
원시자료
105,강릉,7,4,2,1,5,7,2,,,,28,
201,강화,8,5,,,,,,,,,13,
294,거제,3,4,,1,1,1,,,,,10,
284,거창,,,,,1,4,,,,,5,
185,고산,7,4,1,1,3,6,2,,,1,25,
156,광주,7,4,,1,5,8,2,,,,27,
279,구미,5,3,,,,,,,1,1,10,
140,군산,8,4,,1,5,5,2,,,,25,
238,금산,,4,,,,,,,,,4,
295,남해,3,5,,1,,,,,,,9,
100,대관령,6,4,2,1,7,8,2,,1,,31,
143,대구,6,5,1,1,2,6,2,,1,2,26,
133,대전,6,5,1,1,4,5,2,,,2,26,
98,동두천,9,6,2,1,8,7,3,2,,,38,
106,동해,7,4,2,1,5,7,2,,,,28,
165,목포,5,4,,1,4,6,2,,,,22,
288,밀양,2,4,,,,1,,,,,7,
102,백령도,8,8,2,1,10,8,3,2,,2,44,
159,부산,7,5,,1,1,5,2,,1,1,23,
289,산청,6,4,,1,,,,,,,11,
137,상주,,4,1,1,3,6,2,,1,2,20,
189,서귀포,7,4,1,1,3,6,2,,,1,25,
129,서산,8,5,1,1,5,5,2,,,1,28,
108,서울,9,6,2,1,9,7,2,2,,1,39,
188,성산,,,,,,,2,,,1,3,
90,속초,3,4,2,1,4,7,2,1,,1,25,
119,수원,9,6,2,1,9,7,2,2,,1,39,
136,안동,6,5,2,1,3,6,2,,1,2,28,
168,여수,5,4,,1,1,5,2,,,1,19,
277,영덕,7,,,,,,,,,,7,
121,영월,8,4,2,1,7,7,2,,1,2,34,
281,영천,5,,,,,,,,,,5,
170,완도,7,4,,1,4,6,2,,,1,25,
115,울릉도,4,4,1,1,3,6,2,,,,21,
152,울산,6,4,2,1,1,6,2,,1,2,25,
130,울진,7,6,2,1,3,6,2,,,2,29,
114,원주,8,4,2,1,7,7,2,,,,31,
112,인천,10,6,2,1,9,7,2,2,,1,40,
146,전주,6,4,,1,5,4,2,,,,22,
184,제주,7,4,1,1,3,6,2,,,1,25,
175,진도(첨찰산),,4,,1,4,6,2,,,1,18,
192,진주,8,5,2,1,2,5,2,,1,1,27,
155,창원,7,5,,1,1,5,2,,1,1,23,
232,천안,,,,,2,2,,,,,4,
95,철원,9,6,2,1,7,8,3,1,,1,38,
131,청주,6,5,1,1,4,5,2,,,,24,
135,추풍령,6,5,1,1,2,6,2,,1,2,26,
101,춘천,8,4,2,1,8,6,3,,,,32,
127,충주,7,5,1,1,4,5,2,,,2,27,
162,통영,6,4,,1,1,5,2,,1,1,21,
99,파주,,6,2,1,9,7,2,2,,1,30,
138,포항,6,4,1,1,2,6,2,,1,2,25,
285,합천,2,3,,1,1,3,,,,,10,
212,홍천,,2,,,,,,,,,2,
169,흑산도,7,4,1,1,6,7,2,,,1,29,
,[합계],304,226,49,45,193,264,88,14,13,42,1238,
