"","NAME","ADDRESS","LAT","LNG"
"1","강남구","서울+강남구+학동로+426+강남구청+별관+1동",37.5175421,127.0479641
"2","강동구","서울+강동구+구천면로+42길+59+천호1동+주민센터",37.5449847,127.136788
"3","강변북로","서울+성동구+강변북로+257+한강사업본부+옆",37.538889,127.0416258
"4","강북구","서울+강북구+덕릉로41길+74+번1동+주민센터",37.6378603,127.0288514
"5","강서구","서울+강서로45다길+71+화곡3동+푸른들청소년도서관",37.544646,126.8351785
"6","관악구","서울+관악구+신림동길+14+신림동+주민센터",37.4873769,126.9271156
"7","광진구","서울+광진구+광나루로+571+구의아리수정수센터",37.5450788,127.0931969
"8","구로구","서울+구로구+가마산로+27길+45+(구로고등학교)",37.4982638,126.8901189
"9","금천구","서울+금천구+금하로21길+20+(시흥5동+주민센터)",37.4523531,126.9082851
"10","노원구","서울+노원구+상계로+118+상계2동+주민센터",37.6587751,127.0684859
"11","도봉구","서울+도봉구+시루봉로2길+34+쌍문동청소년문화의+집",37.6541361,127.0289898
"12","동대문구","서울+동대문구+천호대로13길+43+용두초등학교",37.5755624,127.0290199
"13","동작구","서울+동작구+사당로16아길+6+(사당4동+주민센터)",37.480934,126.9716115
"14","마포구","서울+마포구+대흥로+20길+28+마포아트센터",37.5497585,126.945501
"15","서대문구","서울+서대문구+연희로32길+51+서대문구+자연사박물관",37.5767,126.937834
"16","서초구","서울+서초구+신반포로15길+16+(반포+2동+주민센터)",37.504543,126.994497
"17","성동구","서울+성동구+뚝섬로+273+서울숲+자전거대여소+옆",37.5471579,127.0394518
"18","성북구","서울+성북구+삼양로2길+70+(길음2동+주민센터)",37.6066697,127.0272969
"19","송파구","서울+송파구+올림픽로+424+서울역사편찬원",37.521172,127.121415
"20","양천구","서울+양천구+중앙로52길+56+(신정4동+문화센터)",37.5259543,126.8565659
"21","영등포구","서울+영등포구+양산로23길+11+(당산1동+주민센터)",37.524955,126.89734
"22","영등포로","서울+영등포구+영중로+37+(영등포시장사거리)",37.5202336,126.9042003
"23","용산구","서울+용산구+한남대로+136+(서울특별시중부기술교육원)",37.540033,127.00485
"24","은평구","서울+은평구+진흥로+215+(한국환경정책평가연구원)",36.4957341,127.3047532
"25","종로","서울+종로구+종로+169+(종묘주차장+앞)",37.5714234,126.9956621
"26","종로구","서울+종로구+종로35가길+19+(종로5,6가+동+주민센터)",37.5720196,127.0050075
"27","중구","서울+중구+덕수궁길+15+시청서소문별관+3동",37.564337,126.9756088
"28","중랑구","서울+중랑구+용마산로+369+건강가정지원센터",37.584868,127.0939855
"29","천호대로","서울+강동구+천호대로+1151+길동사거리+강동성모요양병원+앞)",37.5345222,127.1394476
"30","한강대로","서울+용산구+한강대로+405+(서울역+앞)",37.5547125,126.9707878
"31","화랑로","서울+노원구+화랑로+429+태능입구역+8번+출구",37.617321,127.074739
"32","검단","인천+서구+마전동+665+(검단로502번길+15)검단출장소",37.6021082,126.6612773
"33","구월동","인천+남동구+구월동+1296-6+구월4동+주민센터+옥상",37.4496001,126.7240809
"34","논현","인천+남동구+논현동+논현+제2+근린공원+내",37.4082714,126.6982235
"35","덕적도","인천+옹진군+덕적면+진리+산+35-4번지",37.2330412,126.1492719
"36","동춘","인천+연수구+동춘동+923-5+연수구의회+옥상",37.4094931,126.6783087
"37","부평","인천+부평구+부평4동+440-1+(부평대로88번길+19)부평동초등학교",37.4996774,126.7237462
"38","석남","인천+서구+석남동+573번지+(거북로+116)+석남2동+주민센터",37.5026206,126.6746121
"39","송림","인천+동구+송림동+109-2번지+동구의회+옥상",37.473818,126.6431993
"40","송해","인천+강화군+송해면+솔정리+357-2+(전망대로+29)+송해면사무소",37.7645292,126.463931
"41","운서","인천+중구+운서동+2709-1번지+영마루+공원+내",37.4965902,126.4877694
"42","원당","인천+서구+원당동+원당지구+76B+1L+검단선사박물관",37.5943875,126.6986072
"43","가평읍","경기+가평군+가평읍+석봉로+181+가평군청+의회동+옥상",37.8312899,127.5095489
"44","계남공원","경기+부천시+원미구+중4동+1030-3+(계남공원+사거리)",37.5060383,126.7595481
"45","고색동","경기+수원시+권선구+고색동+886-70",37.2522258,126.9763043
"46","고잔동","경기+안산시+단원구+고잔동+515+(안산시청+옥상)",37.3218676,126.8308796
"47","고천동","경기+의왕시+고천동+사그내길+11+(고천동+주민센터)",37.3478115,126.9759203
"48","고촌면","경기+김포시+고촌면+신곡리+530-1+(고촌면사무소)",37.6033599,126.7709609
"49","과천동","경기+과천시+과천동+249+(환경사업소)",37.4487718,127.0012761
"50","관인면","경기+포천시+관인면+사정리+140",38.1238246,127.2525557
"51","교문동","경기+구리시+교문동+3-2+(구리시+체육관)",37.5955661,127.1362874
"52","구갈동","경기+용인시+기흥구+구갈동+505-3",37.2753236,127.1137437
"53","금곡동","경기+남양주시+금곡동+185-10+(남양주시청)",37.635612,127.2161882
"54","김량장동","경기+용인시+김량장동+처인구+금령로+50+(처인구청+옥상))",37.23444,127.201346
"55","남양동","경기+화성시+남양동+1340",37.2114792,126.8240014
"56","내동","경기+부천시+오정구+삼작로+114+(신흥동주민센터)",37.519898,126.773713
"57","단대동","경기+성남시+수정구+단대동+4888-2+(단대동+복지회관)",37.4541351,127.1598994
"58","당동","경기+군포시+당동+752-10+(군포도서관)",37.353755,126.945173
"59","대부동","경기+안산시+단원구+대부북동+467+(대부출장소)",37.2436784,126.5852946
"60","대야동","경기+시흥시+대야동+491-3+(대야동+주민센터)",37.443046,126.788519
"61","동구동","경기+구리시+인창동+56-36+(노인아동복지회관)",37.6184502,127.1383205
