PM10,EM5_VOC,EM5_NH3,EM5_PM2.5,EM6_CO,EM6_NOX,EM6_SOX,EM6_TSP,EM6_PM10,EM6_VOC,EM6_NH3,EM6_PM2.5,EM7_CO,EM7_NOX,EM7_SOX,EM7_TSP,EM7_PM10,EM7_VOC,EM7_NH3,EM7_PM2.5,EM8_CO,EM8_NOX,EM8_SOX,EM8_TSP,EM8_PM10,EM8_VOC,EM8_NH3,EM8_PM2.5,EM9_CO,EM9_NOX,EM9_SOX,EM9_TSP,EM9_PM10,EM9_VOC,EM9_NH3,EM9_PM2.5,POP_DEN,YD_FREQ,X_COORD,Y_COORD
34.18947368,169880,0,0,0,0,0,0,0,611914,0,0,1399741,754428,2433,40397,40397,222923,19550,0,19942,69967,872,2666,2666,8212,218,0,,,,,,,,,11316.6,0,129.0649903,35.07837557
50.66838488,96197,0,0,0,0,0,0,0,1075994,0,0,4787011,2834202,9065,146144,146144,765322,65279,0,136290,414265,7102,19740,19740,55652,1096,0,,,,,,,,,13670.2,0,129.0432387,35.16494092
45.99843014,64348,0,0,0,0,0,0,0,899713,0,0,2977885,1716759,5677,88781,88781,463492,46856,0,120464,418750,5336,16194,16194,49559,1293,0,,,,,,,,,16797.14,0,129.0794028,35.20591354
39.57764877,52913,0,0,0,0,0,0,0,2381411,0,0,1728067,1967182,4535,103785,103785,333689,38957,0,211835,684723,8663,30874,30874,81255,2131,0,8371,167411,4688,3348,2424,632101,0,0,370.8,0,128.4984143,35.75933349
35.54901961,74311,0,0,0,0,0,0,0,772019,0,0,2587299,1495607,4664,77893,77893,428638,51246,0,107401,369904,4637,14361,14361,43409,1148,0,,,,,,,,,6349.38,0,129.3084529,35.57078873
58.34357542,73220,0,0,0,0,0,0,0,2125227,0,0,3242266,1886476,6347,98387,98387,502395,53220,0,568391,1941088,25783,77340,77340,233426,5896,0,,,,,,,,,8627.19,0,129.0236161,35.22893322
41.41944444,52047,0,0,0,0,0,0,0,24713372,0,0,1922588,757827,3042,38929,38929,299813,36295,0,286584,1908409,1467742,105220,71462,114946,3802,0,6145,122905,3441,2458,1780,363800,0,0,5198.58,0,129.4262891,35.52530803
35.10325318,103362,0,0,0,0,0,0,0,1300914,0,0,4846212,2684714,9709,137820,137820,755484,79905,0,145318,493265,6643,19826,19826,59628,1489,0,54161,195011,43328,5417,3922,2282,0,0,8143.48,0,129.1537846,35.19355307
64.18322981,85906,0,0,0,0,0,0,0,4173177,0,0,3970329,2251391,7378,118661,118661,621928,60727,0,558000,3783396,2965243,209773,141551,223624,7456,0,31118,243414,22972,5516,3993,475199,0,0,8961.9,0,128.9745193,35.08903727
47.55871496,107524,0,0,0,0,0,0,0,1032450,0,0,2728753,2019691,5694,110659,110659,459881,46775,0,47157,164342,2051,6357,6357,19216,512,0,12,232,6,5,3,686,0,0,4034.01,0,129.0917149,35.2585974
52.42280946,159223,0,0,0,0,0,0,0,4066185,0,0,7297639,3507847,11436,198960,198960,1175588,96262,0,101628,350800,4536,13720,13720,41757,1073,0,1783,6524,1426,181,131,447,0,0,17829.85,0,126.7211168,37.49660451
52.30367232,111596,0,0,0,0,0,0,0,1009308,0,0,2841417,1792177,5492,93664,93664,456825,55097,0,122345,403900,5781,17047,17047,50001,1193,0,221,4415,124,88,64,13068,0,0,8740.68,0,127.0033928,37.3138921
48.76601671,92330,0,0,0,0,0,0,0,1350814,0,0,2885824,2335179,7442,128592,128592,492782,56215,0,183111,288545,9051,4213,4199,20925,316,0,956,3440,764,96,69,38,0,0,7511.62,0,126.7346088,37.55724923
61.4378851,85453,0,0,0,0,0,0,0,3636813,0,0,1741164,1664478,4922,85981,85981,285719,33622,0,874623,5025795,4454145,280490,178043,236133,8063,0,104499,378583,83564,10493,7597,144443,0,0,295.37,0,128.8925616,35.13804203
57.19347839,482510,0,0,0,0,0,0,0,7734766,0,0,5082033,3355393,9420,194159,194159,869956,71360,0,331786,2098130,1532826,114546,79321,132454,4304,0,97286,835241,70730,18601,13467,1753486,0,0,3426.58,0,126.6562773,37.55775669
47.54036643,19345,0,0,0,0,0,0,0,235384,0,0,1059198,762416,1585,47614,47614,192183,11076,0,100514,263422,3215,17591,17591,30351,861,0,1425,5131,1140,143,103,57,0,0,159.32,0,126.4019571,37.71241251
34.73020528,44637,0,0,0,0,0,0,0,697986,0,0,2467638,1609890,6437,76485,76485,384318,32076,0,111563,391433,4877,14910,14910,45940,1220,0,,,,,,,,,17415.63,0,129.111349,35.16102777
