PM10,EM2_CO,EM2_NOX,EM2_SOX,EM2_TSP,EM2_PM10,EM2_VOC,EM2_NH3,EM2_PM2.5,EM3_CO,EM3_NOX,EM3_SOX,EM3_TSP,EM3_PM10,EM3_VOC,EM3_NH3,EM3_PM2.5,EM4_CO,EM4_NOX,EM4_SOX,EM4_TSP,EM4_PM10,EM4_VOC,EM4_NH3,EM4_PM2.5,EM5_CO,EM5_NOX,EM5_SOX,EM5_TSP,EM5_PM10
55.78995434,64546,274266,878027,7135,4501,6895,5958,0,3338,18132,74853,2022,1345,347,484,0,0,0,0,0,0,784,0,0,0,0,0,0,0
51.6075419,352173,740801,183282,11864,8363,25697,14027,0,64551,520527,285991,88483,58959,12044,6769,0,0,0,462,90,55,10597,0,0,0,0,0,0,0
60.30705394,206137,780407,2782562,48659,30336,13222,22183,0,4710,26960,83925,2851,1889,664,653,0,0,0,751,0,0,3625,0,0,0,0,0,0,0
57.89538043,482319,651708,108457,7986,5903,42562,9860,0,4457,26799,32277,9868,6608,441,419,0,0,0,0,167,102,8765,0,0,0,0,0,0,0
69.35600579,88562,448891,988637,8329,5356,9911,12348,0,135114,774985,442393,30125,20179,22026,11616,0,0,0,0,1616,986,11332316,63,0,0,0,0,0,0
57.52355316,204242,482705,341771,12409,8238,13531,12662,0,73973,335311,116977,12945,8948,11269,4747,0,21,904,1166,124,83,319993,0,0,0,0,0,0,0
51.97158322,179327,413107,80649,6023,4437,14737,7729,0,3298,26102,67208,4061,2702,656,430,0,0,0,0,0,0,1553,0,0,0,0,0,0,0
42.37808943,291649,1981191,7666925,501438,311573,52407,41582,0,1599773,12001375,7794617,1022750,682693,313161,149021,0,4909063,3032705,8376277,2076078,1073141,24537155,6287675,0,0,0,0,0,0
40.86694102,38592,219940,18934,2413,1827,8223,3976,0,53421,182847,57173,30156,20402,6921,2430,0,93,4016,2615,401,277,937,0,0,0,0,0,0,0
87.83356449,220973,507521,186138,8961,6282,16173,11210,0,120748,562887,328538,47209,31285,19619,9301,0,0,428593,755870,65456,60501,199928,0,0,0,0,0,0,0
58.83074753,177390,436074,242328,6200,4324,12836,10279,0,11597,87844,57358,9164,6065,2121,1291,0,0,0,751,218,133,4723,0,0,0,0,0,0,0
47.62900976,52592,143832,40184,4452,2797,2952,4608,0,121502,393653,79385,20535,14295,16639,5516,0,0,50258,89164,8603,7660,24237,0,0,0,0,0,0,0
51.74320652,121963,234108,30087,2976,2216,8362,4960,0,2064,13092,18624,5717,3827,223,223,0,0,0,0,0,0,4631,0,0,0,0,0,0,0
71.75073472,143033,749959,45713,7136,5607,27343,15802,0,172464,1146935,729763,138278,92261,28756,13413,0,388901,243261,706309,54451,30912,1819408,1035728,0,0,0,0,0,0
49.47100424,101911,210901,23436,2594,1949,7477,4544,0,2520,10116,5603,3091,2073,332,102,0,0,0,0,218,133,3090,0,0,0,0,0,0,0
44.76035293,23861,96555,7986,1854,1155,1340,3747,0,3458,34146,24984,7057,4709,648,491,0,0,0,0,0,0,51648,0,0,0,0,0,0,0
71.85772358,185730,490695,106459,7863,5412,14577,11172,0,50104,346768,252958,28688,18863,8828,5436,0,0,0,12127,688,410,2761,4720,0,0,0,0,0,0
39.89251701,50446,102314,53782,2407,1593,2616,2998,0,28299,284659,483831,13655,8925,6509,4189,0,20987,902431,589015,20987,19937,43544,0,0,0,0,0,0,0
33.47715054,381882,463328,116913,9823,7069,17085,7622,0,44394,153077,16740,1225,848,3931,4660,0,0,0,0,90,55,2804,51,0,0,0,0,0,0
78.70898716,87653,193297,22499,2167,1501,6444,4040,0,3297,32160,36955,17472,11701,420,331,0,0,0,0,0,0,3440,0,0,0,0,0,0,0
48.07392473,585014,710890,207300,17720,12240,22790,12986,0,18988,99537,36001,621,400,3073,1589,0,0,0,462,26,16,11260,0,0,0,0,0,0,0
67.91549296,291817,600342,129787,9406,6410,16579,14434,0,9323,79333,87655,45026,30158,1218,635,0,0,0,0,141,86,7193,0,0,0,0,0,0,0
56.55107527,369843,498484,141970,11900,8121,14581,10598,0,984289,2921129,166122,7709,5715,134806,40651,0,0,0,3696,0,0,3278,0,0,0,0,0,0,0
61.01716738,149937,237151,40581,3969,2744,7227,5181,0,1804,24352,34347,19152,12833,212,101,0,0,0,0,51,31,5873,0,0,0,0,0,0,0
74.00695624,535105,1239893,164383,19523,14638,49868,19616,0,27683,168593,111016,40855,27274,4403,1867,0,23,1004,12088,63933,32621,5818,0,0,0,0,0,0,0
50.50294144,353122,717672,105392,9760,6999,24929,14419,0,15526,122583,103879,31779,21195,3107,1721,0,0,0,0,0,0,6834,0,0,0,0,0,0,0
,483722,1292574,1037252,182935,114497,38607,24187,0,130091,957940,548114,151028,100609,23462,12538,0,54,2316,4684,208,145,2140651,0,0,0,0,0,0,0
52.30592992,304920,466510,84579,8275,5880,17097,7999,0,9784,64607,4316,281,182,1889,948,0,0,0,0,38,23,2206,0,0,0,0,0,0,0
48.62264151,124096,222419,42159,4216,2888,6553,5591,0,92043,677592,520050,140116,93352,16328,8268,0,0,0,982,372,227,22909,0,0,0,0,0,0,0
54.54043127,326763,419423,102707,8517,6044,14242,7819,0,70391,562827,278496,10089,6293,14603,8415,0,0,0,3638,64,39,5697,6,0,0,0,0,0,0
65.00705219,17854,94820,10015,858,681,3684,1889,0,225377,633171,20599,13471,10213,29980,8864,0,0,1911782,3345619,286934,266796,861779,0,0,0,0,0,0,0
69.41403026,147993,792100,256978,9752,7443,31311,15182,0,109918,1142931,1448060,276973,185413,19160,8429,0,0,0,44142,1680,1025,1911,0,0,0,0,0,0,0
