,year,month,name,sig_cd,weather_cd,SO2,CO,O3,NO2,PM10
80,2001,1,강남구,11680,108,0.006791667,1.64327957,0.009388441,0.034728495,74.91666667
81,2001,1,강동구,11740,108,0.004773842,1.459776536,0.006700809,0.04427504,96.34636119
82,2001,1,강북구,11305,108,0.007587571,1.27611276,0.00626301,0.05437518,74.36335404
83,2001,1,강서구,11500,108,0.005520891,0.824687933,0.010426003,0.037747573,67.59861111
84,2001,1,관악구,11620,108,0.006429268,1.334297521,0.01993361,0.039651633,NA
85,2001,1,광진구,11215,108,0.006043127,0.730727763,0.011401674,0.042209177,89.30945946
86,2001,1,구로구,11530,108,0.00737518,0.921807747,0.008314655,0.041401439,46.13858268
88,2001,1,금천구,11545,108,0.003755396,1.160519126,0.006209302,0.046675787,69.29972752
89,2001,1,노원구,11350,108,0.008800539,1.204588394,0.024136119,NA,86.31671159
90,2001,1,도봉구,11320,108,0.010224628,1.033829499,0.016257104,0.034894452,61.03653586
93,2001,1,동대문구,11230,108,0.004694767,1.097580645,0.014785714,0.04152957,76.03629032
94,2001,1,동작구,11590,108,0.005955526,1.564690027,0.007110512,0.046331053,65.51075269
95,2001,1,마포구,11440,108,0.011342742,1.556123822,0.009001344,0.05297561,81.38950276
96,2001,1,서대문구,11410,108,0.006530612,1.136223776,0.008413514,0.044194595,64.45121951
97,2001,1,서초구,11650,108,0.006885559,NA,NA,NA,53.82849239
98,2001,1,성동구,11200,108,0.004647376,0.824797844,0.005254717,0.038789757,107.6151203
99,2001,1,성북구,11290,108,0.011871907,1.812227074,0.018497703,0.0343246,NA
100,2001,1,송파구,11710,108,0.006591231,0.874212034,NA,0.03534464,44.47275204
102,2001,1,양천구,11470,108,0.006202703,1.077192982,0.004230769,0.034691092,83.82880435
103,2001,1,영등포구,11560,108,0.009662242,1.606340058,0.011420833,0.033991667,46.52631579
104,2001,1,용산구,11170,108,0.008667145,0.948648649,0.008519621,0.049552097,75.96216216
105,2001,1,은평구,11380,108,0.007549192,0.98723099,0.018411765,0.039472464,38.48142645
107,2001,1,종로구,11110,108,0.008217822,NA,0.010168691,0.052107629,97.41001353
108,2001,1,중구,11140,108,0.009866197,1.89109375,0.00977304,0.025887208,44.84156977
109,2001,1,중랑구,11260,108,0.008025,2.017146776,0.015631868,0.040741433,81.67768595
111,2001,1,무거동,31140,152,0.005074438,0.649506347,0.018117117,0.015707865,39.07350689
112,2001,1,부곡동(울산),31140,152,0.019890983,1.087752355,0.011401077,0.039998654,NA
114,2001,1,신정동,31140,152,0.005956772,NA,0.014568862,0.005098655,24.22819767
115,2001,1,야음동,31140,152,0.006417227,0.728398385,0.026196501,0.020993271,43.52204836
116,2001,1,여천동(울산),31140,152,0.013025572,1.132166891,0.009148048,NA,NA
117,2001,1,대송동,31170,152,0.009591837,0.269931973,0.024288276,0.012295198,44.07022901
