"","varVec2.i.","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6"
"1","SHANGHAI_PM2.5",-1.65204235964507,-1.01041250037041,-0.284838190725494,NA,NA,NA
"2","SHANGHAI_PM2.5_STD",-0.175430731242412,-0.176227851551952,-0.0291562549610823,NA,NA,NA
