"","varVec.i.","diff.gbm.ex3","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex3","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6"
"1","SO2",1.09850121012318,0.0996813106388588,1.41047740901341,0.433549793756576,1.20648625695628,-0.875235843439531,1.51015036481126,2.10508664576035
"2","CO",0.473864329503797,-0.71048415059402,0.659671828039675,-0.276743492092429,1.00917760380919,-1.14868058842165,1.25876325550102,1.75058363051893
"3","O3",0.328956215182302,-0.660349364426372,0.800606777479376,-0.272087407739008,0.816050514021165,-1.25460546787252,1.1784882035737,1.53910981927522
"4","NO2",1.18461445189016,-0.181724081974105,1.04793266942363,0.44444365370085,1.20811296988183,-1.0023945358412,1.42377004814491,1.86333545973184
"5","MEAN_PRES",-5.57487355986378,-1.11766215875384,-3.03104162839535,-5.66799645679135,0.593329575236984,-1.38302177952388,0.895507058602031,1.4460967309843
"6","MEAN_SEA_PRES",-0.686056043191409,-0.123799966516675,-1.77575854286948,-4.96044973789835,-0.453513181344959,0.125340787878351,1.29895824495036,0.750033141991021
"7","MAX_SEA_PRES",-0.0518664875171658,3.32269539417515,4.84755456241552,0.290784396314406,0.350480586920831,-0.0724094146330989,3.27969788140889,1.33239408960045
"8","MIN_SEA_PRES",-4.86129065807558,-4.02675706508014,0.53077305184123,-1.16683503481425,-1.40097057846726,-2.43845727519454,1.80157950388193,1.50568524363694
"9","MAX_WATER_PRES",0.0359128325460596,-0.930778026091523,0.61318210213086,-0.909099185468816,0.803563142915705,-1.39790717796082,1.18292067917955,1.41239542084999
"10","SUM_PRECI",0.336975594603809,-0.719632540916547,0.44198086763196,-0.473965153481221,0.917392784788427,-1.2083518752918,1.21729538289527,1.63092696804362
"11","MEAN_WIND_SPED",0.211019031733673,-0.731021207620626,0.241329500943955,-0.616117508043322,0.875003797176076,-1.27690023686819,1.18171779787319,1.57144183127403
"12","SUM_SUN",0.749292564010708,0.709630254060156,0.823209916291805,0.443493586739573,1.23686796521601,-0.764913139181606,1.5144101699665,1.90030506934945
"13","BEIJING_PM2.5",0.409545474917693,-0.344604977679112,0.551548896266867,-0.655626646230214,0.671958585995587,-1.08085324068871,1.27088838604336,1.9409553936892
"14","BEIJIING_PM2.5_STD",0.66511211859645,-0.726390117891244,1.01868093423019,-0.228654082326019,1.3856713382201,-1.05074330955396,1.78635213300604,1.95325796480029
"15","POP_DEN",0.545657764189398,-0.546422807782242,0.320090489835935,-0.187367073999955,0.995289927570292,-1.11083044758558,1.18144280256367,1.71565288596025
"16","YD_FREQ",0.418764750282834,-0.630324532798903,0.705987244695773,-0.324146375144192,0.979517792140501,-1.13823469485589,1.25435358590082,1.68515133622325
