"","varVec.i.","diff.gbm.ex3","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex3","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6"
"1","SO2",-1.82987260757145,-2.84569814835333,-1.34249755013403,-2.76116398901229,0.116872356694482,-2.0354405281429,0.386831782164404,0.48165030453906
"2","CO",0.0545783788338203,-0.360634656432497,1.41477418151687,-0.439039271246485,0.912777363221901,-1.06275421033078,1.55734334785618,1.59880377512937
"3","O3",1.23387974664967,0.0419803428740988,1.00582664445976,0.27296542218218,1.5059721659592,-0.675070806838516,2.11897182376286,2.450462136647
"4","NO2",-2.12294224154808,-2.34201548820092,-0.723636493840081,-2.61913149970718,-0.0189730774916032,-1.49376476447953,1.07598550239077,1.24388588408543
"5","MEAN_PRES",1.18348056678609,-2.05399495347264,4.4673854326714,1.94569117006536,1.51536837514711,-0.347703613055684,1.08481630728286,2.3992346602391
"6","MEAN_SEA_PRES",3.30480655028327,4.09336931514435,2.29506364107485,10.9828880902654,2.56454328278822,0.234965322927402,2.44822301986716,5.4451340647112
"7","MAX_SEA_PRES",4.63493821972035,2.65115284200497,6.81890097666754,6.64700576508627,3.93260827464102,-0.216224106576615,2.23340350398705,6.42621923094484
"8","MIN_SEA_PRES",4.5831647119757,-1.85989685272748,8.76838370765059,0.941711924441865,5.15307898412338,-0.540725724735848,1.67940748103986,2.97594934342993
"9","MAX_WATER_PRES",2.87979537513132,0.0748853624841107,0.989795598768545,2.51152184133234,2.18911908137444,0.232176141771684,2.18141550266303,3.18812754674268
"10","SUM_PRECI",0.83758252603728,-0.431022994636705,1.69233531261624,0.298313427322573,1.29337798438347,-0.837357317088492,1.68845674779478,1.95894064707119
"11","MEAN_WIND_SPED",1.23297734201126,-0.0437252568777665,2.44004961314329,1.13146932872268,1.42832227435681,-0.472295971745788,1.80846895624097,2.43995817194003
"12","SUM_SUN",-0.43745860351916,-2.8533060056583,-0.386987408784785,-1.60134903013367,0.490392023649308,-1.779826214609,0.609348458425809,1.64860978729203
"13","BEIJING_PM2.5",4.86315168219564,-0.745076685979004,1.04198614426647,-0.20811914875359,2.8492809502086,-1.29549956139011,1.44855231866783,2.99843172232058
"14","BEIJIING_PM2.5_STD",-0.0263038954001323,-0.693099936690448,-0.396684249186291,-0.55761032366056,0.170928303231233,-1.37277465775134,0.548662566470028,1.29094129086244
"15","POP_DEN",0.198766364178257,-0.780314757172863,1.01586568459624,-0.519434764589563,0.905912900004323,-1.16451613843481,1.42824934790925,1.59788498972018
"16","YD_FREQ",-0.463342813945975,-0.652821704812104,0.23290440147674,-0.93175208506854,0.59336590656755,-1.14044329276022,1.16578029722411,1.65929114064945
