"","varVec.i.","diff.gbm.ex3","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex3","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6"
"1","SO2",-0.320848672966199,-1.41725441487698,0.0786695161195527,-1.11547334484139,0.725695555444696,-1.41413662768738,0.966756655430405,1.26426432161736
"2","CO",0.295616016887621,-0.519246059049434,0.896109831194592,-0.362431053229588,0.943987472157148,-1.11068561024737,1.28081056712263,1.63089375910825
"3","O3",0.583059530474452,-0.513578888222062,0.711385095236599,-0.274254679016995,1.18461399320845,-0.998139607801527,1.46213040842449,1.87733216687124
"4","NO2",-0.421179964649237,-1.1379559980984,0.276947163950922,-1.12552134304352,0.697564382956484,-1.27694483723886,1.15265563318386,1.52048850123829
"5","MEAN_PRES",1.18348056678609,-2.05399495347264,4.4673854326714,1.94569117006536,1.51536837514711,-0.347703613055684,1.08481630728286,2.3992346602391
"6","MEAN_SEA_PRES",3.30480655028327,4.09336931514435,2.29506364107485,10.9828880902654,2.56454328278822,0.234965322927402,2.44822301986716,5.4451340647112
"7","MAX_SEA_PRES",4.63493821972035,2.65115284200497,6.81890097666754,6.64700576508627,3.93260827464102,-0.216224106576615,2.23340350398705,6.42621923094484
"8","MIN_SEA_PRES",4.5831647119757,-1.85989685272748,8.76838370765059,0.941711924441865,5.15307898412338,-0.540725724735848,1.67940748103986,2.97594934342993
"9","MAX_WATER_PRES",1.11109150839368,-0.369016337693036,0.83385571134712,0.455144708499134,1.34498904425453,-0.772495211315792,1.58286311081911,2.12902014050048
"10","SUM_PRECI",0.533449896470464,-0.564690291677094,0.99977662553671,-0.156273519426196,1.07702739635138,-1.05487442566999,1.42956686218785,1.76094163788732
"11","MEAN_WIND_SPED",0.668973884262565,-0.515645152139734,1.23540315965646,0.0473636146464532,1.12215083373158,-0.918213962241597,1.40091732195718,1.94183545927447
"12","SUM_SUN",0.018160379042045,-1.84407593369781,0.582941834399777,-1.08126655590439,0.734207182976197,-1.54910593060047,1.23332535881828,1.63886928623869
"13","BEIJING_PM2.5",1.0311327115377,-0.707865174623991,0.911145044703154,-0.58936807844409,1.34069995849931,-1.21461755298449,1.51431979655675,2.27323961230782
"14","BEIJIING_PM2.5_STD",0.244271014845299,-0.584461056325495,0.36906741263462,-0.399266092526851,0.662368941961768,-1.2222689183513,1.15782218161157,1.51967933188061
"15","POP_DEN",0.375842710047579,-0.678321184113448,0.795265935059975,-0.367801201224862,0.968500509693365,-1.15236129539323,1.31284268937905,1.67296704989994
"16","YD_FREQ",0.424539910333253,-0.630324532798903,0.715249940682856,-0.33873889687933,0.969879651887129,-1.1385694213498,1.2513978798988,1.68508188853364
