"","varVec3.i.","diff.gbm.ex5","diff.rf.ex5","mn"
"1","BEIJING_AQI",3.52127400461263,4.18946470354304,3.52127400461263
"2","TIANJIN_AQI",3.83792395877955,5.63612243478439,3.83792395877955
