"","varVec.i.","diff.gbm.ex3","diff.gbm.ex4","diff.gbm.ex5","diff.gbm.ex6","diff.rf.ex3","diff.rf.ex4","diff.rf.ex5","diff.rf.ex6","mn"
"1","SO2",1.23593082968228,-0.103963457501428,1.45864430736618,0.718462594324632,2.88132697705423,1.050614721346,2.69782621157637,3.44488669185225,1.23593082968228
"2","CO",1.87898906506574,0.818270994697863,2.34510410058513,1.52586042443598,3.13806774157124,1.37089613658373,3.04736879492269,3.82589653115277,1.87898906506574
"3","O3",2.14553239998381,0.814077317365974,2.12088294033935,1.59461956609799,3.34455560475711,1.4857705753406,3.22995050766123,4.04853990767796,2.14553239998381
"4","NO2",1.1427767953356,0.15593361770856,1.65327869118108,0.744314496407412,2.87426671306339,1.19848715480873,2.85505820367104,3.69320092034493,1.1427767953356
"5","MEAN_PRES",2.76104607881485,-0.673060243849764,6.36295874042711,3.89244693554058,3.77158604589738,2.15711856347254,2.71108637579044,4.63185158339411,2.76104607881485
"6","MEAN_SEA_PRES",5.07650729119971,5.87344348747945,3.61733163411832,13.9221290745116,5.35026613536594,2.99556832945405,4.26334940422555,8.47145563537461,5.07650729119971
"7","MAX_SEA_PRES",6.72774984379143,4.42374712539812,8.67904280488612,9.5551571178779,6.94753501812556,2.70678235991281,4.24577249784873,9.20760771878347,6.72774984379143
"8","MIN_SEA_PRES",6.51329428254808,-0.451625988746614,10.3651853053586,2.82726105881714,8.12575595846595,2.02362770757344,3.67896700236366,5.17412247865575,6.51329428254808
"9","MAX_WATER_PRES",2.74271278955465,0.980115547804667,2.24485306700964,2.48928603946061,3.62336370891118,1.74574766953404,3.35590804625221,4.4711943604479,2.74271278955465
"10","SUM_PRECI",2.12616519815446,0.776896153060738,2.45390658208289,1.7493568587182,3.24566441063229,1.45472200102739,3.21891154711318,3.95854453875774,2.12616519815446
"11","MEAN_WIND_SPED",2.24922233248419,0.797221166890762,2.65077376299316,1.95945535314873,3.29136106893302,1.55551062843628,3.15516668051165,4.10806786274815,2.24922233248419
"12","SUM_SUN",1.5567745396668,-0.500361133840888,1.9951118498169,0.8167734843059,2.84470505169637,0.9555612152127,3.02405647429144,3.82905517567351,1.5567745396668
"13","BEIJING_PM2.5",2.86953939905416,0.680462248212426,2.34947352921253,1.50198422190646,3.55835357090465,1.33990994645973,3.41789535702166,4.52501452178216,2.86953939905416
"14","BEIJIING_PM2.5_STD",1.85666195836945,0.746893168732562,1.87169813735082,1.50412342848067,2.87427795511033,1.26802445240055,2.9387846280328,3.72390722802544,1.85666195836945
"15","POP_DEN",1.95021472203082,0.651139572687721,2.26148471812549,1.51002935367242,3.14145016734658,1.32350974288844,3.06563574502625,3.85301215020902,1.95021472203082
"16","YD_FREQ",2.00624624817868,0.694196807604913,2.13101560695434,1.55036318993354,3.14817764960852,1.3372149183379,3.00486158100405,3.86793217365898,2.00624624817868
